charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Raspberries, seedless, puree
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 41.00, KCAL
"Fat", 0.87, G
"Protein", 1.02, G
"Carbohydrate", 7.99, G
"Ash", 0.42, G
"Starch", 0.20, G
"Fructose", 3.05, G
"Lactose", 0.00, G
"Galactose", 0.00, G
"Fiber", 0.9, G
"Iron, Fe", 1.08, MG
"Magnesium, Mg", 15.00, MG
"Phosphorus, P", 20.00, MG
"Sodium, Na", 4.00, MG
"Copper, Cu", 0.068, MG
"Manganese, Mn", 0.343, MG
"Vitamin A", 38.00, IU
"Vitamin A, RAE", 2.00, UG
"Carotene, beta", 8.00, UG
"Carotene, alpha", 30.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 1.07, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 6.4, MG
"Thiamin", 0.090, MG
"Riboflavin", 0.100, MG
"Folate", 29.00, UG
"Folate, food", 29.00, UG
"Saturated fatty acids", 0.064, G
"Octanoic acid", 0.002, G
"Dodecanoic acid", 0.003, G
"Tetradecanoic acid", 0.002, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.001, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.000, G
"Tetracosanoic acid", 0.002, G
"Trans-hexadecenoic acid", 0.000, G
"Tetracosenoic cis acid", 0.000, G
"Cis-octadecenoic acid", 0.016, G
"Cis,cis-octadecadienoic n-6 acid", 0.043, G
"Docosenoic cis acid", 0.000, G
"Heptadecenoic acid", 0.000, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.05, G
"Eicosadienoic n-3 acid", 0.000, G
"Trans-octadecatrienoic acid", 0.000, G
"Docosatetraenoic acid", 0.000, G
"Sucrose", 0.18, G
"Glucose (dextrose)", 2.81, G
"Maltose", 0.00, G
"Water", 89.70, G
"Sugars", 6.04, G
"Calcium, Ca", 14.00, MG
"Potassium, K", 169.00, MG
"Zinc, Zn", 0.18, MG
"Vitamin E", 1.54, MG
"Lutein + zeaxanthin", 448.00, UG
"Tocopherol, beta", 0.80, MG
"Tocopherol, gamma", 0.37, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.490, MG
"Pantothenic acid", 0.310, MG
"Vitamin B6", 0.060, MG
"Butanoic acid", 0.009, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.003, G
"Hexadecanoic acid", 0.032, G
"Octadecanoic acid", 0.007, G
"Eicosanoic acid", 0.001, G
"Octadecenoic acid", 0.016, G
"Octadecadienoic acid", 0.043, G
"Octadecatrienoic acid", 0.047, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.016, G
"Polyunsaturated fatty acids", 0.090, G
"Pentadecanoic acid", 0.002, G
"Trans-octadecenoic acid", 0.000, G
"Docosenoic trans acid", 0.000, G
"Trans-octadecadienoic acid", 0.000, G
"Octadecadienoic CLAs acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Cis-hexadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Eicosadienoic n-6 acid", 0.000, G
"Tocopherol, alpha", 1.54, MG
# Downloaded from https://www.nutritionvalue.org 
