charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Rice, enriched, raw, medium-grain, white
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 360.00, KCAL
"Fat", 0.58, G
"Protein", 6.61, G
"Carbohydrate", 79.34, G
"Folate, DFE", 386.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Folic acid", 222.00, UG
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Folate", 231.00, UG
"Vitamin B12", 0.00, UG
"Folate, food", 9.00, UG
"Tryptophan", 0.077, G
"Threonine", 0.236, G
"Methionine", 0.155, G
"Phenylalanine", 0.353, G
"Tyrosine", 0.221, G
"Alanine", 0.383, G
"Glutamic acid", 1.288, G
"Glycine", 0.301, G
"Proline", 0.311, G
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.158, G
"Tetradecanoic acid", 0.003, G
"Hexadecenoic acid", 0.002, G
"Ash", 0.58, G
"Fiber", 1.4, G
"Iron, Fe", 4.36, MG
"Magnesium, Mg", 35.00, MG
"Phosphorus, P", 108.00, MG
"Sodium, Na", 1.00, MG
"Copper, Cu", 0.110, MG
"Manganese, Mn", 1.100, MG
"Vitamin A", 0.00, IU
"Vitamin C", 0.0, MG
"Thiamin", 0.578, MG
"Riboflavin", 0.048, MG
"Water", 12.89, G
"Calcium, Ca", 9.00, MG
"Potassium, K", 86.00, MG
"Zinc, Zn", 1.16, MG
"Vitamin E", 0.11, MG
"Niacin", 5.093, MG
"Pantothenic acid", 1.342, MG
"Vitamin B6", 0.145, MG
"Isoleucine", 0.285, G
"Leucine", 0.546, G
"Lysine", 0.239, G
"Cystine", 0.135, G
"Valine", 0.403, G
"Arginine", 0.551, G
"Histidine", 0.155, G
"Aspartic acid", 0.621, G
"Serine", 0.347, G
"Hexadecanoic acid", 0.141, G
"Octadecanoic acid", 0.011, G
"Octadecenoic acid", 0.179, G
"Octadecadienoic acid", 0.128, G
"Octadecatrienoic acid", 0.027, G
"Monounsaturated fatty acids", 0.181, G
"Polyunsaturated fatty acids", 0.155, G
"Vitamin D", 0.00, UG
"Selenium, Se", 15.1, UG
"Tocopherol, alpha", 0.11, MG
# Downloaded from https://www.nutritionvalue.org 
