charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Rice, raw, long-grain, brown
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 367.00, KCAL
"Fat", 3.20, G
"Protein", 7.54, G
"Carbohydrate", 76.25, G
"Folic acid", 0.00, UG
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Sugars", 0.66, G
"Calcium, Ca", 9.00, MG
"Potassium, K", 250.00, MG
"Zinc, Zn", 2.13, MG
"Selenium, Se", 17.1, UG
"Vitamin E", 0.60, MG
"Sucrose", 0.66, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Water", 11.80, G
"Vitamin K (Menaquinone-4)", 0.00, UG
"Folate, DFE", 23.00, UG
"Tocopherol, beta", 0.04, MG
"Tocopherol, gamma", 0.19, MG
"Tocotrienol, alpha", 0.44, MG
"Tocotrienol, beta", 0.09, MG
"Niacin", 6.494, MG
"Pantothenic acid", 1.065, MG
"Vitamin B6", 0.477, MG
"Fatty acids, total trans-polyenoic", 0.001, G
"Eicosadienoic n-6 acid", 0.000, G
"Eicosenoic acid", 0.011, G
"Monounsaturated fatty acids", 1.054, G
"Polyunsaturated fatty acids", 1.000, G
"Pentadecanoic acid", 0.002, G
"Trans-octadecenoic acid", 0.000, G
"Docosenoic trans acid", 0.000, G
"Trans-octadecadienoic acid", 0.001, G
"Octadecadienoic CLAs acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Cis-hexadecenoic acid", 0.004, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Decanoic acid", 0.017, G
"Hexadecanoic acid", 0.460, G
"Octadecanoic acid", 0.056, G
"Eicosanoic acid", 0.015, G
"Octadecenoic acid", 1.039, G
"Octadecadienoic acid", 0.968, G
"Octadecatrienoic acid", 0.032, G
"Galactose", 0.00, G
"Fiber", 3.6, G
"Iron, Fe", 1.29, MG
"Magnesium, Mg", 116.00, MG
"Phosphorus, P", 311.00, MG
"Sodium, Na", 5.00, MG
"Copper, Cu", 0.302, MG
"Manganese, Mn", 2.853, MG
"Vitamin A", 0.00, IU
"Ash", 1.21, G
"Starch", 72.51, G
"Fructose", 0.00, G
"Lactose", 0.00, G
"Tocotrienol, gamma", 1.34, MG
"Tocotrienol, delta", 0.06, MG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 0.6, UG
"Folate, food", 23.00, UG
"Thiamin", 0.541, MG
"Riboflavin", 0.095, MG
"Folate", 23.00, UG
"Heptadecanoic acid", 0.000, G
"Tetracosanoic acid", 0.017, G
"Trans-hexadecenoic acid", 0.000, G
"Tetracosenoic cis acid", 0.000, G
"Cis-octadecenoic acid", 1.039, G
"Cis,cis-octadecadienoic n-6 acid", 0.967, G
"Docosenoic cis acid", 0.000, G
"Heptadecenoic acid", 0.000, G
"Fatty acids, total trans-monoenoic", 0.000, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.03, G
"Eicosadienoic n-3 acid", 0.000, G
"Trans-octadecatrienoic acid", 0.000, G
"Docosatetraenoic acid", 0.000, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.004, G
"Fatty acids, total trans", 0.001, G
"Saturated fatty acids", 0.591, G
"Octanoic acid", 0.002, G
"Dodecanoic acid", 0.005, G
"Tetradecanoic acid", 0.017, G
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Lutein + zeaxanthin", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Choline", 21.5, MG
"Vitamin B12", 0.00, UG
"Vitamin C", 0.0, MG
"Tryptophan", 0.101, G
"Threonine", 0.291, G
"Methionine", 0.179, G
"Phenylalanine", 0.410, G
"Tyrosine", 0.298, G
"Alanine", 0.463, G
"Glutamic acid", 1.618, G
"Glycine", 0.391, G
"Proline", 0.372, G
"Cholesterol", 0.00, MG
"Isoleucine", 0.336, G
"Leucine", 0.657, G
"Lysine", 0.303, G
"Cystine", 0.096, G
"Valine", 0.466, G
"Arginine", 0.602, G
"Histidine", 0.202, G
"Aspartic acid", 0.743, G
"Serine", 0.411, G
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.60, MG
# Downloaded from https://www.nutritionvalue.org 
