charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Rye grain
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 338.00, KCAL
"Fat", 1.63, G
"Protein", 10.34, G
"Carbohydrate", 75.86, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Threonine", 0.289, G
"Methionine", 0.153, G
"Phenylalanine", 0.435, G
"Tyrosine", 0.200, G
"Alanine", 0.405, G
"Glutamic acid", 2.294, G
"Glycine", 0.416, G
"Proline", 0.804, G
"Cholesterol", 0.00, MG
"Vitamin C", 0.0, MG
"Folate", 38.00, UG
"Ash", 1.57, G
"Fructose", 0.11, G
"Lactose", 0.00, G
"Fiber", 15.1, G
"Iron, Fe", 2.63, MG
"Magnesium, Mg", 110.00, MG
"Phosphorus, P", 332.00, MG
"Sodium, Na", 2.00, MG
"Copper, Cu", 0.367, MG
"Manganese, Mn", 2.577, MG
"Choline", 30.4, MG
"Calcium, Ca", 24.00, MG
"Potassium, K", 510.00, MG
"Zinc, Zn", 2.65, MG
"Selenium, Se", 13.9, UG
"Vitamin E", 0.85, MG
"Betaine", 146.1, MG
"Isoleucine", 0.208, G
"Leucine", 0.563, G
"Lysine", 0.286, G
"Valine", 0.317, G
"Arginine", 0.454, G
"Histidine", 0.189, G
"Aspartic acid", 0.560, G
"Serine", 0.458, G
"Sucrose", 0.71, G
"Glucose (dextrose)", 0.16, G
"Maltose", 0.00, G
"Water", 10.60, G
"Vitamin A", 11.00, IU
"Galactose", 0.00, G
"Folate, food", 38.00, UG
"Tryptophan", 0.108, G
"Thiamin", 0.316, MG
"Riboflavin", 0.251, MG
"Fatty acids, total trans", 0.000, G
"Saturated fatty acids", 0.197, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.002, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.007, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin A, RAE", 1.00, UG
"Carotene, beta", 7.00, UG
"Sugars", 0.98, G
"Folate, DFE", 38.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.186, G
"Octadecanoic acid", 0.006, G
"Octadecenoic acid", 0.193, G
"Octadecadienoic acid", 0.659, G
"Octadecatrienoic acid", 0.108, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.009, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.208, G
"Polyunsaturated fatty acids", 0.767, G
"Niacin", 4.270, MG
"Pantothenic acid", 1.456, MG
"Vitamin B6", 0.294, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Lutein + zeaxanthin", 210.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 5.9, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin B12", 0.00, UG
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.85, MG
# Downloaded from https://www.nutritionvalue.org 
