charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Salt, table
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 0.00, KCAL
"Fat", 0.00, G
"Protein", 0.00, G
"Carbohydrate", 0.00, G
"Fiber", 0.0, G
"Iron, Fe", 0.33, MG
"Magnesium, Mg", 1.00, MG
"Phosphorus, P", 0.00, MG
"Sodium, Na", 38758.00, MG
"Copper, Cu", 0.030, MG
"Manganese, Mn", 0.100, MG
"Vitamin A", 0.00, IU
"Saturated fatty acids", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Hexadecenoic acid", 0.000, G
"Phytosterols", 0.00, MG
"Tryptophan", 0.000, G
"Threonine", 0.000, G
"Methionine", 0.000, G
"Phenylalanine", 0.000, G
"Tyrosine", 0.000, G
"Alanine", 0.000, G
"Glutamic acid", 0.000, G
"Glycine", 0.000, G
"Proline", 0.000, G
"Vitamin C", 0.0, MG
"Thiamin", 0.000, MG
"Riboflavin", 0.000, MG
"Folate", 0.00, UG
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
"Ash", 99.80, G
"Alcohol, ethyl", 0.0, G
"Water", 0.20, G
"Calcium, Ca", 24.00, MG
"Potassium, K", 8.00, MG
"Zinc, Zn", 0.10, MG
"Niacin", 0.000, MG
"Isoleucine", 0.000, G
"Leucine", 0.000, G
"Lysine", 0.000, G
"Cystine", 0.000, G
"Valine", 0.000, G
"Arginine", 0.000, G
"Histidine", 0.000, G
"Aspartic acid", 0.000, G
"Serine", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Vitamin B6", 0.000, MG
"Eicosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Folic acid", 0.00, UG
"Folate, food", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Fluoride, F", 2.0, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Octanoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Lutein + zeaxanthin", 0.00, UG
"Vitamin E", 0.00, MG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 0.0, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Pantothenic acid", 0.000, MG
"Folate, DFE", 0.00, UG
"Choline", 0.0, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 0.1, UG
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
