charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Seal, raw (Alaska Native), meat, bearded (Oogruk)
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 110.00, KCAL
"Fat", 0.40, G
"Protein", 26.70, G
"Carbohydrate", 0.00, G
"Water", 69.60, G
"Calcium, Ca", 10.00, MG
"Niacin", 5.900, MG
"Ash", 3.30, G
"Iron, Fe", 12.90, MG
"Phosphorus, P", 198.00, MG
"Vitamin A", 1400.00, IU
"Thiamin", 0.200, MG
"Riboflavin", 0.260, MG
"Cholesterol", 100.00, MG
# Downloaded from https://www.nutritionvalue.org 
