charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Seaweed, dried, agar
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 306.00, KCAL
"Fat", 0.30, G
"Protein", 6.21, G
"Carbohydrate", 80.88, G
"Folic acid", 0.00, UG
"Octadecatetraenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Lutein + zeaxanthin", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 2.97, G
"Vitamin E", 5.00, MG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin K", 24.4, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Folate, food", 580.00, UG
"Vitamin A", 0.00, IU
"Vitamin A, RAE", 0.00, UG
"Folate, DFE", 580.00, UG
"Choline", 63.3, MG
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Niacin", 0.202, MG
"Pantothenic acid", 3.018, MG
"Vitamin B6", 0.303, MG
"Water", 8.68, G
"Calcium, Ca", 625.00, MG
"Potassium, K", 1125.00, MG
"Zinc, Zn", 5.80, MG
"Monounsaturated fatty acids", 0.027, G
"Polyunsaturated fatty acids", 0.102, G
"Hexadecanoic acid", 0.055, G
"Octadecanoic acid", 0.003, G
"Octadecenoic acid", 0.009, G
"Octadecadienoic acid", 0.004, G
"Octadecatrienoic acid", 0.001, G
"Eicosatetraenoic acid", 0.010, G
"Eicosenoic acid", 0.009, G
"Ash", 3.93, G
"Vitamin C", 0.0, MG
"Thiamin", 0.010, MG
"Riboflavin", 0.222, MG
"Folate", 580.00, UG
"Vitamin B12", 0.00, UG
"Fiber", 7.7, G
"Iron, Fe", 21.40, MG
"Magnesium, Mg", 770.00, MG
"Phosphorus, P", 52.00, MG
"Sodium, Na", 102.00, MG
"Copper, Cu", 0.610, MG
"Manganese, Mn", 4.300, MG
"Saturated fatty acids", 0.061, G
"Cholesterol", 0.00, MG
"Hexadecenoic acid", 0.009, G
"Eicosapentaenoic n-3 acid (EPA)", 0.09, G
"Tetradecanoic acid", 0.003, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin D", 0.00, UG
"Selenium, Se", 7.4, UG
"Tocopherol, alpha", 5.00, MG
# Downloaded from https://www.nutritionvalue.org 
