charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Shallots, freeze-dried
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 348.00, KCAL
"Fat", 0.50, G
"Protein", 12.30, G
"Carbohydrate", 80.70, G
"Folic acid", 0.00, UG
"Folate, DFE", 116.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Monounsaturated fatty acids", 0.070, G
"Polyunsaturated fatty acids", 0.196, G
"Niacin", 1.000, MG
"Pantothenic acid", 1.408, MG
"Vitamin B6", 1.675, MG
"Hexadecanoic acid", 0.075, G
"Octadecanoic acid", 0.007, G
"Octadecenoic acid", 0.070, G
"Octadecadienoic acid", 0.185, G
"Octadecatrienoic acid", 0.010, G
"Isoleucine", 0.522, G
"Leucine", 0.734, G
"Lysine", 0.614, G
"Valine", 0.543, G
"Arginine", 0.890, G
"Histidine", 0.213, G
"Aspartic acid", 1.138, G
"Serine", 0.555, G
"Water", 2.00, G
"Calcium, Ca", 183.00, MG
"Potassium, K", 1650.00, MG
"Zinc, Zn", 1.93, MG
"Ash", 4.50, G
"Iron, Fe", 6.00, MG
"Magnesium, Mg", 104.00, MG
"Phosphorus, P", 296.00, MG
"Sodium, Na", 59.00, MG
"Copper, Cu", 0.425, MG
"Manganese, Mn", 1.417, MG
"Saturated fatty acids", 0.084, G
"Tetradecanoic acid", 0.002, G
"Vitamin C", 39.0, MG
"Thiamin", 0.300, MG
"Riboflavin", 0.100, MG
"Folate", 116.00, UG
"Vitamin B12", 0.00, UG
"Tryptophan", 0.138, G
"Threonine", 0.482, G
"Methionine", 0.134, G
"Phenylalanine", 0.396, G
"Tyrosine", 0.356, G
"Alanine", 0.555, G
"Glutamic acid", 2.545, G
"Glycine", 0.610, G
"Proline", 0.813, G
"Cholesterol", 0.00, MG
"Vitamin A", 21.00, IU
"Alcohol, ethyl", 0.0, G
"Fiber", 15.7, G
"Vitamin K", 3.9, UG
"Vitamin A, RAE", 1.00, UG
"Carotene, beta", 13.00, UG
"Carotene, alpha", 0.00, UG
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 38.16, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Choline", 55.0, MG
"Lutein + zeaxanthin", 38.00, UG
"Vitamin E", 0.18, MG
"Vitamin D", 0.00, UG
"Folate, food", 116.00, UG
"Selenium, Se", 5.7, UG
"Tocopherol, alpha", 0.18, MG
# Downloaded from https://www.nutritionvalue.org 
