charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Shortening industrial, lard and vegetable oil
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 900.00, KCAL
"Fat", 100.00, G
"Protein", 0.00, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Folate, DFE", 0.00, UG
"Ash", 0.00, G
"Fiber", 0.0, G
"Iron, Fe", 0.00, MG
"Magnesium, Mg", 0.00, MG
"Phosphorus, P", 0.00, MG
"Sodium, Na", 0.00, MG
"Vitamin A", 0.00, IU
"Vitamin C", 0.0, MG
"Thiamin", 0.000, MG
"Riboflavin", 0.000, MG
"Folate", 0.00, UG
"Vitamin B12", 0.00, UG
"Folate, food", 0.00, UG
"Tryptophan", 0.000, G
"Threonine", 0.000, G
"Methionine", 0.000, G
"Phenylalanine", 0.000, G
"Tyrosine", 0.000, G
"Alanine", 0.000, G
"Glutamic acid", 0.000, G
"Glycine", 0.000, G
"Proline", 0.000, G
"Cholesterol", 56.00, MG
"Saturated fatty acids", 35.700, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.200, G
"Tetradecanoic acid", 1.200, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 1.400, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Phytosterols", 13.00, MG
"Water", 0.00, G
"Calcium, Ca", 0.00, MG
"Potassium, K", 0.00, MG
"Zinc, Zn", 0.00, MG
"Vitamin E", 1.00, MG
"Niacin", 0.000, MG
"Pantothenic acid", 0.000, MG
"Vitamin B6", 0.000, MG
"Isoleucine", 0.000, G
"Leucine", 0.000, G
"Lysine", 0.000, G
"Cystine", 0.000, G
"Valine", 0.000, G
"Arginine", 0.000, G
"Histidine", 0.000, G
"Aspartic acid", 0.000, G
"Serine", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 19.200, G
"Octadecanoic acid", 14.600, G
"Octadecenoic acid", 38.000, G
"Octadecadienoic acid", 18.100, G
"Octadecatrienoic acid", 1.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.600, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 40.700, G
"Polyunsaturated fatty acids", 19.200, G
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Selenium, Se", 0.0, UG
"Tocopherol, alpha", 1.00, MG
# Downloaded from https://www.nutritionvalue.org 
