charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Spices, bay leaf
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 313.00, KCAL
"Fat", 8.36, G
"Protein", 7.61, G
"Carbohydrate", 74.97, G
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 2.280, G
"Octanoic acid", 0.010, G
"Dodecanoic acid", 0.530, G
"Tetradecanoic acid", 0.210, G
"Hexadecenoic acid", 0.140, G
"Fiber", 26.3, G
"Iron, Fe", 43.00, MG
"Magnesium, Mg", 120.00, MG
"Phosphorus, P", 113.00, MG
"Sodium, Na", 23.00, MG
"Manganese, Mn", 8.167, MG
"Vitamin A", 6185.00, IU
"Vitamin C", 46.5, MG
"Thiamin", 0.009, MG
"Riboflavin", 0.421, MG
"Ash", 3.62, G
"Niacin", 2.005, MG
"Water", 5.44, G
"Calcium, Ca", 834.00, MG
"Potassium, K", 529.00, MG
"Zinc, Zn", 3.70, MG
"Decanoic acid", 0.010, G
"Hexadecanoic acid", 1.270, G
"Octadecanoic acid", 0.160, G
"Octadecenoic acid", 1.500, G
"Octadecadienoic acid", 1.240, G
"Octadecatrienoic acid", 1.050, G
"Monounsaturated fatty acids", 1.640, G
"Polyunsaturated fatty acids", 2.290, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Folic acid", 0.00, UG
"Copper, Cu", 0.416, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Selenium, Se", 2.8, UG
"Vitamin A, RAE", 309.00, UG
"Folate, food", 180.00, UG
"Folate, DFE", 180.00, UG
"Vitamin B6", 1.740, MG
"Vitamin D", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Folate", 180.00, UG
# Downloaded from https://www.nutritionvalue.org 
