charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Spices, celery seed
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 392.00, KCAL
"Fat", 25.27, G
"Protein", 18.07, G
"Carbohydrate", 41.35, G
"Calcium, Ca", 1767.00, MG
"Potassium, K", 1400.00, MG
"Zinc, Zn", 6.93, MG
"Decanoic acid", 0.020, G
"Hexadecanoic acid", 1.290, G
"Octadecanoic acid", 0.390, G
"Octadecenoic acid", 15.450, G
"Octadecadienoic acid", 3.520, G
"Octadecatrienoic acid", 0.200, G
"Monounsaturated fatty acids", 15.930, G
"Polyunsaturated fatty acids", 3.720, G
"Eicosenoic acid", 0.240, G
"Water", 6.04, G
"Fiber", 11.8, G
"Iron, Fe", 44.90, MG
"Magnesium, Mg", 440.00, MG
"Phosphorus, P", 547.00, MG
"Sodium, Na", 160.00, MG
"Copper, Cu", 1.370, MG
"Manganese, Mn", 7.567, MG
"Vitamin A", 52.00, IU
"Ash", 9.27, G
"Vitamin C", 17.1, MG
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 2.190, G
"Dodecanoic acid", 0.020, G
"Tetradecanoic acid", 0.020, G
"Phytosterols", 60.00, MG
"Hexadecenoic acid", 0.240, G
"Folic acid", 0.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Octanoic acid", 0.000, G
"Selenium, Se", 12.1, UG
"Vitamin E", 1.07, MG
"Sugars", 0.67, G
"Lutein + zeaxanthin", 0.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Vitamin K", 0.0, UG
"Carotene, beta", 31.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Folate, food", 10.00, UG
"Vitamin A, RAE", 3.00, UG
"Folate, DFE", 10.00, UG
"Choline", 24.7, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Thiamin", 0.340, MG
"Riboflavin", 0.290, MG
"Folate", 10.00, UG
"Niacin", 3.060, MG
"Retinol", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin B6", 0.890, MG
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 1.07, MG
# Downloaded from https://www.nutritionvalue.org 
