charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Spices, dill seed
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 305.00, KCAL
"Fat", 14.54, G
"Protein", 15.98, G
"Carbohydrate", 55.17, G
"Phytosterols", 124.00, MG
"Dodecanoic acid", 0.010, G
"Tetradecanoic acid", 0.010, G
"Hexadecenoic acid", 0.050, G
"Thiamin", 0.418, MG
"Riboflavin", 0.284, MG
"Vitamin B12", 0.00, UG
"Threonine", 0.575, G
"Methionine", 0.143, G
"Phenylalanine", 0.670, G
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.730, G
"Manganese, Mn", 1.833, MG
"Vitamin A", 53.00, IU
"Ash", 6.62, G
"Fiber", 21.1, G
"Iron, Fe", 16.33, MG
"Magnesium, Mg", 256.00, MG
"Phosphorus, P", 277.00, MG
"Sodium, Na", 20.00, MG
"Copper, Cu", 0.780, MG
"Water", 7.70, G
"Calcium, Ca", 1516.00, MG
"Potassium, K", 1186.00, MG
"Zinc, Zn", 5.20, MG
"Isoleucine", 0.767, G
"Leucine", 0.925, G
"Lysine", 1.038, G
"Valine", 1.120, G
"Arginine", 1.263, G
"Histidine", 0.320, G
"Niacin", 2.807, MG
"Hexadecanoic acid", 0.580, G
"Octadecanoic acid", 0.100, G
"Octadecenoic acid", 9.360, G
"Octadecadienoic acid", 0.960, G
"Octadecatrienoic acid", 0.150, G
"Monounsaturated fatty acids", 9.410, G
"Polyunsaturated fatty acids", 1.010, G
"Folic acid", 0.00, UG
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Octanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Selenium, Se", 12.1, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Vitamin C", 21.0, MG
"Folate", 10.00, UG
"Retinol", 0.00, UG
"Folate, DFE", 10.00, UG
"Vitamin B6", 0.250, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin A, RAE", 3.00, UG
"Folate, food", 10.00, UG
"Vitamin D", 0.00, UG
# Downloaded from https://www.nutritionvalue.org 
