charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Spices, dried, basil
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 233.00, KCAL
"Fat", 4.07, G
"Protein", 22.98, G
"Carbohydrate", 47.75, G
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
"Phytosterols", 106.00, MG
"Folic acid", 0.00, UG
"Lutein + zeaxanthin", 1150.00, UG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Sugars", 1.71, G
"Sucrose", 0.02, G
"Glucose (dextrose)", 0.75, G
"Maltose", 0.00, G
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 1714.5, UG
"Fructose", 0.75, G
"Lactose", 0.00, G
"Lycopene", 393.00, UG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Galactose", 0.19, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Alcohol, ethyl", 0.0, G
"Choline", 54.9, MG
"Betaine", 16.1, MG
"Retinol", 0.00, UG
"Isoleucine", 1.060, G
"Leucine", 1.850, G
"Lysine", 1.150, G
"Cystine", 0.190, G
"Valine", 1.450, G
"Arginine", 1.230, G
"Histidine", 0.450, G
"Aspartic acid", 3.020, G
"Serine", 0.530, G
"Folate, DFE", 310.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 1.036, G
"Octadecanoic acid", 1.075, G
"Eicosanoic acid", 0.000, G
"Octadecenoic acid", 1.067, G
"Octadecadienoic acid", 0.199, G
"Octadecatrienoic acid", 0.300, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 1.238, G
"Polyunsaturated fatty acids", 0.498, G
"Pentadecanoic acid", 0.000, G
"Trans-octadecenoic acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.004, G
"Eicosadienoic acid", 0.000, G
"Tridecanoic acid", 0.000, G
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.77, MG
"Niacin", 4.900, MG
"Pantothenic acid", 0.838, MG
"Vitamin B6", 1.340, MG
"Zinc, Zn", 7.10, MG
"Selenium, Se", 3.0, UG
"Vitamin E", 10.70, MG
"Water", 10.35, G
"Calcium, Ca", 2240.00, MG
"Potassium, K", 2630.00, MG
"Heptadecanoic acid", 0.000, G
"Tetracosanoic acid", 0.000, G
"Tetracosenoic cis acid", 0.000, G
"Cis-octadecenoic acid", 1.067, G
"Heptadecenoic acid", 0.000, G
"Fatty acids, total trans-monoenoic", 0.000, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.30, G
"Folate, food", 310.00, UG
"Tryptophan", 0.260, G
"Threonine", 0.760, G
"Methionine", 0.320, G
"Phenylalanine", 1.250, G
"Tyrosine", 0.750, G
"Alanine", 1.180, G
"Glutamic acid", 2.570, G
"Glycine", 1.250, G
"Proline", 2.700, G
"Hydroxyproline", 0.000, G
"Fatty acids, total trans", 0.000, G
"Saturated fatty acids", 2.157, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.046, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.171, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin C", 0.8, MG
"Thiamin", 0.080, MG
"Riboflavin", 1.200, MG
"Folate", 310.00, UG
"Fiber", 37.7, G
"Iron, Fe", 89.80, MG
"Magnesium, Mg", 711.00, MG
"Phosphorus, P", 274.00, MG
"Sodium, Na", 76.00, MG
"Copper, Cu", 2.100, MG
"Manganese, Mn", 9.800, MG
"Vitamin A", 744.00, IU
"Vitamin A, RAE", 37.00, UG
"Carotene, beta", 378.00, UG
"Carotene, alpha", 113.00, UG
"Ash", 14.85, G
"Cryptoxanthin, beta", 24.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 10.70, MG
# Downloaded from https://www.nutritionvalue.org 
