charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Spices, ground, nutmeg
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 525.00, KCAL
"Fat", 36.31, G
"Protein", 5.84, G
"Carbohydrate", 49.29, G
"Ash", 2.34, G
"Iron, Fe", 3.04, MG
"Magnesium, Mg", 183.00, MG
"Phosphorus, P", 213.00, MG
"Sodium, Na", 16.00, MG
"Copper, Cu", 1.027, MG
"Manganese, Mn", 2.900, MG
"Vitamin A", 102.00, IU
"Riboflavin", 0.057, MG
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 25.940, G
"Dodecanoic acid", 0.370, G
"Tetradecanoic acid", 22.830, G
"Hexadecenoic acid", 1.400, G
"Phytosterols", 62.00, MG
"Water", 6.23, G
"Calcium, Ca", 184.00, MG
"Potassium, K", 350.00, MG
"Zinc, Zn", 2.15, MG
"Niacin", 1.299, MG
"Hexadecanoic acid", 2.260, G
"Octadecanoic acid", 0.170, G
"Octadecenoic acid", 1.590, G
"Octadecadienoic acid", 0.350, G
"Monounsaturated fatty acids", 3.220, G
"Polyunsaturated fatty acids", 0.350, G
"Folic acid", 0.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Octanoic acid", 0.000, G
"Selenium, Se", 1.6, UG
"Carotene, alpha", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Vitamin K", 0.0, UG
"Vitamin E", 0.00, MG
"Lutein + zeaxanthin", 0.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.53, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin C", 3.0, MG
"Alcohol, ethyl", 0.0, G
"Folate", 76.00, UG
"Carotene, beta", 28.00, UG
"Cryptoxanthin, beta", 66.00, UG
"Retinol", 0.00, UG
"Vitamin A, RAE", 5.00, UG
"Sugars", 2.99, G
"Thiamin", 0.346, MG
"Fiber", 20.8, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin B6", 0.160, MG
"Choline", 8.8, MG
"Folate, DFE", 76.00, UG
"Folate, food", 76.00, UG
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
