charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Spices, paprika
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 282.00, KCAL
"Fat", 12.89, G
"Protein", 14.14, G
"Carbohydrate", 53.99, G
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
"Phytosterols", 175.00, MG
"Folic acid", 0.00, UG
"Tocopherol, gamma", 3.54, MG
"Tocotrienol, alpha", 3.95, MG
"Vitamin E", 29.10, MG
"Fatty acids, total trans", 0.000, G
"Fatty acids, total trans-monoenoic", 0.000, G
"Tocopherol, delta", 0.25, MG
"Tocotrienol, gamma", 0.09, MG
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Tocopherol, beta", 0.35, MG
"Sugars", 10.34, G
"Sucrose", 0.81, G
"Glucose (dextrose)", 2.63, G
"Maltose", 0.00, G
"Tocotrienol, beta", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 80.3, UG
"Galactose", 0.19, G
"Fructose", 6.71, G
"Lactose", 0.00, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Choline", 51.5, MG
"Betaine", 7.1, MG
"Heptadecenoic acid", 0.000, G
"Pentadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Tetradecenoic acid", 0.000, G
"Heptadecanoic acid", 0.000, G
"Tetracosanoic acid", 0.000, G
"Tetracosenoic cis acid", 0.000, G
"Cryptoxanthin, beta", 6186.00, UG
"Lycopene", 0.00, UG
"Octanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Vitamin A, RAE", 2463.00, UG
"Carotene, beta", 26162.00, UG
"Carotene, alpha", 595.00, UG
"Fiber", 34.9, G
"Iron, Fe", 21.14, MG
"Magnesium, Mg", 178.00, MG
"Phosphorus, P", 314.00, MG
"Sodium, Na", 68.00, MG
"Copper, Cu", 0.713, MG
"Manganese, Mn", 1.590, MG
"Vitamin A", 49254.00, IU
"Vitamin C", 0.9, MG
"Thiamin", 0.330, MG
"Riboflavin", 1.230, MG
"Folate", 49.00, UG
"Tryptophan", 0.070, G
"Threonine", 0.490, G
"Methionine", 0.200, G
"Phenylalanine", 0.610, G
"Tyrosine", 0.380, G
"Alanine", 0.640, G
"Glutamic acid", 2.260, G
"Glycine", 0.780, G
"Proline", 2.310, G
"Hydroxyproline", 0.000, G
"Ash", 7.74, G
"Docosenoic acid", 0.000, G
"Lutein + zeaxanthin", 18944.00, UG
"Calcium, Ca", 229.00, MG
"Potassium, K", 2280.00, MG
"Zinc, Zn", 4.33, MG
"Selenium, Se", 6.3, UG
"Water", 11.24, G
"Isoleucine", 0.570, G
"Leucine", 0.920, G
"Lysine", 0.690, G
"Cystine", 0.230, G
"Valine", 0.750, G
"Arginine", 0.890, G
"Histidine", 0.250, G
"Aspartic acid", 2.850, G
"Serine", 0.610, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Niacin", 10.060, MG
"Pantothenic acid", 2.510, MG
"Vitamin B6", 2.141, MG
"Eicosatetraenoic acid", 0.000, G
"Pentadecanoic acid", 0.000, G
"Trans-octadecenoic acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Tridecanoic acid", 0.000, G
"Monounsaturated fatty acids", 1.695, G
"Polyunsaturated fatty acids", 7.766, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.023, G
"Folate, DFE", 49.00, UG
"Hexadecanoic acid", 1.468, G
"Octadecanoic acid", 0.337, G
"Eicosanoic acid", 0.047, G
"Octadecenoic acid", 1.603, G
"Octadecadienoic acid", 7.314, G
"Octadecatrienoic acid", 0.453, G
"Folate, food", 49.00, UG
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.45, G
"Docosanoic acid", 0.047, G
"Dodecanoic acid", 0.068, G
"Tetradecanoic acid", 0.172, G
"Saturated fatty acids", 2.140, G
"Cis-octadecenoic acid", 1.603, G
"Hexadecenoic acid", 0.069, G
"Retinol", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin D", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Tocopherol, alpha", 29.10, MG
# Downloaded from https://www.nutritionvalue.org 
