charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Spices, saffron
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 310.00, KCAL
"Fat", 5.85, G
"Protein", 11.43, G
"Carbohydrate", 65.37, G
"Water", 11.90, G
"Calcium, Ca", 111.00, MG
"Potassium, K", 1724.00, MG
"Ash", 5.45, G
"Phosphorus, P", 252.00, MG
"Fiber", 3.9, G
"Iron, Fe", 11.10, MG
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
"Copper, Cu", 0.328, MG
"Manganese, Mn", 28.408, MG
"Folic acid", 0.00, UG
"Saturated fatty acids", 1.586, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.006, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.003, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.01, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 1.157, G
"Octadecanoic acid", 0.247, G
"Octadecenoic acid", 0.390, G
"Octadecadienoic acid", 0.754, G
"Octadecatrienoic acid", 1.242, G
"Eicosatetraenoic acid", 0.013, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.006, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.429, G
"Selenium, Se", 5.6, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Zinc, Zn", 1.09, MG
"Niacin", 1.460, MG
"Polyunsaturated fatty acids", 2.067, G
"Alcohol, ethyl", 0.0, G
"Magnesium, Mg", 264.00, MG
"Vitamin A", 530.00, IU
"Vitamin C", 80.8, MG
"Thiamin", 0.115, MG
"Riboflavin", 0.267, MG
"Folate", 93.00, UG
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Vitamin D", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Folate, DFE", 93.00, UG
"Vitamin B6", 1.010, MG
"Folate, food", 93.00, UG
"Vitamin A, RAE", 27.00, UG
"Sodium, Na", 148.00, MG
# Downloaded from https://www.nutritionvalue.org 
