charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Spinach, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 23.00, KCAL
"Fat", 0.39, G
"Protein", 2.86, G
"Carbohydrate", 3.63, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Calcium, Ca", 99.00, MG
"Potassium, K", 558.00, MG
"Zinc, Zn", 0.53, MG
"Niacin", 0.724, MG
"Pantothenic acid", 0.065, MG
"Vitamin B6", 0.195, MG
"Isoleucine", 0.147, G
"Leucine", 0.223, G
"Lysine", 0.174, G
"Cystine", 0.035, G
"Valine", 0.161, G
"Arginine", 0.162, G
"Histidine", 0.064, G
"Aspartic acid", 0.240, G
"Serine", 0.104, G
"Ash", 1.72, G
"Iron, Fe", 2.71, MG
"Magnesium, Mg", 79.00, MG
"Phosphorus, P", 49.00, MG
"Sodium, Na", 79.00, MG
"Copper, Cu", 0.130, MG
"Manganese, Mn", 0.897, MG
"Vitamin C", 28.1, MG
"Thiamin", 0.078, MG
"Riboflavin", 0.189, MG
"Folate", 194.00, UG
"Vitamin B12", 0.00, UG
"Tryptophan", 0.039, G
"Threonine", 0.122, G
"Methionine", 0.053, G
"Phenylalanine", 0.129, G
"Tyrosine", 0.108, G
"Alanine", 0.142, G
"Glutamic acid", 0.343, G
"Glycine", 0.134, G
"Proline", 0.112, G
"Phytosterols", 9.00, MG
"Cholesterol", 0.00, MG
"Fructose", 0.15, G
"Lactose", 0.00, G
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, beta", 5626.00, UG
"Carotene, alpha", 0.00, UG
"Galactose", 0.10, G
"Fiber", 2.2, G
"Lutein + zeaxanthin", 12198.00, UG
"Sucrose", 0.07, G
"Glucose (dextrose)", 0.11, G
"Maltose", 0.00, G
"Water", 91.40, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin E", 2.03, MG
"Choline", 19.3, MG
"Folate, DFE", 194.00, UG
"Betaine", 102.6, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.049, G
"Octadecanoic acid", 0.004, G
"Octadecenoic acid", 0.005, G
"Octadecadienoic acid", 0.026, G
"Octadecatrienoic acid", 0.138, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.010, G
"Polyunsaturated fatty acids", 0.165, G
"Sugars", 0.42, G
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.18, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin K", 482.9, UG
"Folate, food", 194.00, UG
"Vitamin A, RAE", 469.00, UG
"Vitamin A", 9377.00, IU
"Saturated fatty acids", 0.063, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.010, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.005, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin D", 0.00, UG
"Selenium, Se", 1.0, UG
"Tocopherol, alpha", 2.03, MG
# Downloaded from https://www.nutritionvalue.org 
