charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Sugar, turbinado
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 399.00, KCAL
"Fat", 0.00, G
"Protein", 0.00, G
"Carbohydrate", 99.80, G
"Sucrose", 99.19, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Water", 0.03, G
"Sugars", 99.19, G
"Calcium, Ca", 12.00, MG
"Potassium, K", 29.00, MG
"Zinc, Zn", 0.03, MG
"Ash", 0.17, G
"Fructose", 0.00, G
"Lactose", 0.00, G
"Galactose", 0.00, G
"Iron, Fe", 0.37, MG
"Magnesium, Mg", 2.00, MG
"Phosphorus, P", 1.00, MG
"Sodium, Na", 3.00, MG
"Copper, Cu", 0.009, MG
"Manganese, Mn", 0.046, MG
# Downloaded from https://www.nutritionvalue.org 
