charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Sugars, brown
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 380.00, KCAL
"Fat", 0.00, G
"Protein", 0.12, G
"Carbohydrate", 98.09, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Retinol", 0.00, UG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin E", 0.00, MG
"Lutein + zeaxanthin", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin K", 0.0, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin D", 0.00, UG
"Sucrose", 94.56, G
"Glucose (dextrose)", 1.35, G
"Maltose", 0.00, G
"Water", 1.34, G
"Sugars", 97.02, G
"Calcium, Ca", 83.00, MG
"Potassium, K", 133.00, MG
"Zinc, Zn", 0.03, MG
"Selenium, Se", 1.2, UG
"Niacin", 0.110, MG
"Pantothenic acid", 0.132, MG
"Vitamin B6", 0.041, MG
"Choline", 2.3, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Folate, DFE", 1.00, UG
"Betaine", 0.1, MG
"Folate, food", 1.00, UG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin A, RAE", 0.00, UG
"Vitamin C", 0.0, MG
"Thiamin", 0.000, MG
"Riboflavin", 0.000, MG
"Folate", 1.00, UG
"Vitamin B12", 0.00, UG
"Ash", 0.45, G
"Fructose", 1.11, G
"Lactose", 0.00, G
"Alcohol, ethyl", 0.0, G
"Galactose", 0.00, G
"Fiber", 0.0, G
"Iron, Fe", 0.71, MG
"Magnesium, Mg", 9.00, MG
"Phosphorus, P", 4.00, MG
"Sodium, Na", 28.00, MG
"Copper, Cu", 0.047, MG
"Manganese, Mn", 0.064, MG
"Vitamin A", 0.00, IU
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
