charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Sugars, granulated
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 387.00, KCAL
"Fat", 0.00, G
"Protein", 0.00, G
"Carbohydrate", 99.98, G
"Folic acid", 0.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Folate, food", 0.00, UG
"Galactose", 0.00, G
"Fructose", 0.00, G
"Lactose", 0.00, G
"Iron, Fe", 0.05, MG
"Magnesium, Mg", 0.00, MG
"Phosphorus, P", 0.00, MG
"Sodium, Na", 1.00, MG
"Copper, Cu", 0.007, MG
"Manganese, Mn", 0.004, MG
"Sucrose", 99.80, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Water", 0.02, G
"Calcium, Ca", 1.00, MG
"Potassium, K", 2.00, MG
"Zinc, Zn", 0.01, MG
"Alcohol, ethyl", 0.0, G
"Saturated fatty acids", 0.000, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Fluoride, F", 0.0, UG
"Retinol", 0.00, UG
"Sugars", 99.80, G
"Folate, DFE", 0.00, UG
"Ash", 0.01, G
"Vitamin A, RAE", 0.00, UG
"Niacin", 0.000, MG
"Pantothenic acid", 0.000, MG
"Vitamin B6", 0.000, MG
"Fiber", 0.0, G
"Cholesterol", 0.00, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.000, MG
"Riboflavin", 0.019, MG
"Folate", 0.00, UG
"Vitamin B12", 0.00, UG
"Vitamin A", 0.00, IU
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin E", 0.00, MG
"Lutein + zeaxanthin", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Choline", 0.0, MG
"Vitamin K", 0.0, UG
"Vitamin D", 0.00, UG
"Selenium, Se", 0.6, UG
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
