charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Sugars, powdered
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 389.00, KCAL
"Fat", 0.00, G
"Protein", 0.00, G
"Carbohydrate", 99.77, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Folic acid", 0.00, UG
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Water", 0.23, G
"Calcium, Ca", 1.00, MG
"Potassium, K", 2.00, MG
"Zinc, Zn", 0.01, MG
"Folate, food", 0.00, UG
"Saturated fatty acids", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Iron, Fe", 0.06, MG
"Magnesium, Mg", 0.00, MG
"Phosphorus, P", 0.00, MG
"Sodium, Na", 2.00, MG
"Copper, Cu", 0.007, MG
"Manganese, Mn", 0.004, MG
"Starch", 1.26, G
"Fructose", 0.00, G
"Lactose", 0.00, G
"Galactose", 0.00, G
"Vitamin A, RAE", 0.00, UG
"Ash", 0.01, G
"Folate, DFE", 0.00, UG
"Sugars", 97.81, G
"Folate", 0.00, UG
"Niacin", 0.000, MG
"Pantothenic acid", 0.000, MG
"Vitamin B6", 0.000, MG
"Vitamin B12, added", 0.00, UG
"Choline", 0.0, MG
"Cholesterol", 0.00, MG
"Vitamin B12", 0.00, UG
"Vitamin K", 0.0, UG
"Fiber", 0.0, G
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 0.0, MG
"Thiamin", 0.000, MG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin A", 0.00, IU
"Retinol", 0.00, UG
"Lutein + zeaxanthin", 0.00, UG
"Selenium, Se", 0.6, UG
"Vitamin E", 0.00, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin D", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Riboflavin", 0.019, MG
"Vitamin E, added", 0.00, MG
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
