charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Sweet potato leaves, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 42.00, KCAL
"Fat", 0.51, G
"Protein", 2.49, G
"Carbohydrate", 8.82, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Saturated fatty acids", 0.111, G
"Sodium, Na", 6.00, MG
"Vitamin A", 3778.00, IU
"Cryptoxanthin, beta", 58.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 302.2, UG
"Folate, food", 1.00, UG
"Vitamin A, RAE", 189.00, UG
"Carotene, beta", 2217.00, UG
"Carotene, alpha", 42.00, UG
"Fiber", 5.3, G
"Iron, Fe", 0.97, MG
"Magnesium, Mg", 70.00, MG
"Phosphorus, P", 81.00, MG
"Folate, DFE", 1.00, UG
"Lutein + zeaxanthin", 14720.00, UG
"Water", 86.81, G
"Calcium, Ca", 78.00, MG
"Potassium, K", 508.00, MG
"Hexadecanoic acid", 0.100, G
"Octadecanoic acid", 0.010, G
"Octadecenoic acid", 0.020, G
"Octadecadienoic acid", 0.192, G
"Octadecatrienoic acid", 0.036, G
"Monounsaturated fatty acids", 0.020, G
"Polyunsaturated fatty acids", 0.228, G
"Ash", 1.36, G
"Tryptophan", 0.035, G
"Methionine", 0.086, G
"Cholesterol", 0.00, MG
"Vitamin C", 11.0, MG
"Thiamin", 0.156, MG
"Riboflavin", 0.345, MG
"Vitamin B12", 0.00, UG
"Lysine", 0.228, G
"Cystine", 0.047, G
"Niacin", 1.130, MG
"Pantothenic acid", 0.225, MG
"Vitamin B6", 0.190, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 0.9, UG
# Downloaded from https://www.nutritionvalue.org 
