charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Sweet potato, unprepared, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 86.00, KCAL
"Fat", 0.05, G
"Protein", 1.57, G
"Carbohydrate", 20.12, G
"Folic acid", 0.00, UG
"Fiber", 3.0, G
"Vitamin A", 14187.00, IU
"Vitamin A, RAE", 709.00, UG
"Folate, food", 11.00, UG
"Tryptophan", 0.031, G
"Threonine", 0.083, G
"Methionine", 0.029, G
"Phenylalanine", 0.089, G
"Tyrosine", 0.034, G
"Alanine", 0.077, G
"Glutamic acid", 0.155, G
"Glycine", 0.063, G
"Proline", 0.052, G
"Saturated fatty acids", 0.018, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.000, G
"Tetracosanoic acid", 0.000, G
"Heptadecenoic acid", 0.000, G
"Pentadecenoic acid", 0.000, G
"Sugars", 4.18, G
"Choline", 12.3, MG
"Folate, DFE", 11.00, UG
"Isoleucine", 0.055, G
"Leucine", 0.092, G
"Lysine", 0.066, G
"Cystine", 0.022, G
"Valine", 0.086, G
"Arginine", 0.055, G
"Histidine", 0.031, G
"Aspartic acid", 0.382, G
"Serine", 0.088, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.018, G
"Octadecanoic acid", 0.001, G
"Eicosanoic acid", 0.000, G
"Octadecenoic acid", 0.001, G
"Octadecadienoic acid", 0.013, G
"Octadecatrienoic acid", 0.001, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.001, G
"Polyunsaturated fatty acids", 0.014, G
"Pentadecanoic acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Fatty acids, total trans", 0.000, G
"Alcohol, ethyl", 0.0, G
"Vitamin C", 2.4, MG
"Phytosterols", 12.00, MG
"Carotene, beta", 8509.00, UG
"Carotene, alpha", 7.00, UG
"Sodium, Na", 55.00, MG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Folate", 11.00, UG
"Starch", 12.65, G
"Fructose", 0.70, G
"Lactose", 0.00, G
"Lutein + zeaxanthin", 0.00, UG
"Selenium, Se", 0.6, UG
"Sucrose", 2.52, G
"Glucose (dextrose)", 0.96, G
"Water", 77.28, G
"Retinol", 0.00, UG
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Maltose", 0.00, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Calcium, Ca", 30.00, MG
"Potassium, K", 337.00, MG
"Zinc, Zn", 0.30, MG
"Vitamin E", 0.26, MG
"Tocopherol, beta", 0.01, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 0.01, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.557, MG
"Pantothenic acid", 0.800, MG
"Vitamin B6", 0.209, MG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 1.8, UG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Galactose", 0.00, G
"Iron, Fe", 0.61, MG
"Magnesium, Mg", 25.00, MG
"Phosphorus, P", 47.00, MG
"Copper, Cu", 0.151, MG
"Manganese, Mn", 0.258, MG
"Thiamin", 0.078, MG
"Riboflavin", 0.061, MG
"Ash", 0.99, G
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.26, MG
# Downloaded from https://www.nutritionvalue.org 
