charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Sweeteners, brown, granulated, sugar substitute
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 347.00, KCAL
"Fat", 0.00, G
"Protein", 2.06, G
"Carbohydrate", 84.77, G
"Ash", 4.03, G
"Starch", 3.52, G
"Fructose", 0.00, G
"Lactose", 0.00, G
"Galactose", 0.00, G
"Fiber", 0.6, G
"Iron, Fe", 0.16, MG
"Magnesium, Mg", 6.00, MG
"Phosphorus, P", 8.00, MG
"Sodium, Na", 572.00, MG
"Copper, Cu", 0.007, MG
"Manganese, Mn", 0.022, MG
"Thiamin", 0.015, MG
"Riboflavin", 0.015, MG
"Sucrose", 0.00, G
"Glucose (dextrose)", 1.09, G
"Maltose", 2.94, G
"Water", 9.14, G
"Sugars", 4.03, G
"Calcium, Ca", 879.00, MG
"Potassium, K", 39.00, MG
"Zinc, Zn", 0.04, MG
"Pantothenic acid", 0.080, MG
"Vitamin B6", 0.015, MG
# Downloaded from https://www.nutritionvalue.org 
