charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Sweeteners, contains sugar and sucralose, brown, for baking
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 388.00, KCAL
"Fat", 0.00, G
"Protein", 0.00, G
"Carbohydrate", 97.11, G
"Glucose (dextrose)", 0.80, G
"Maltose", 0.00, G
"Water", 2.44, G
"Sugars", 45.66, G
"Calcium, Ca", 63.00, MG
"Potassium, K", 130.00, MG
"Zinc, Zn", 0.08, MG
"Niacin", 0.080, MG
"Pantothenic acid", 0.120, MG
"Vitamin B6", 0.040, MG
"Sucrose", 44.35, G
"Ash", 0.45, G
"Fructose", 0.51, G
"Galactose", 0.00, G
"Iron, Fe", 1.64, MG
"Magnesium, Mg", 10.00, MG
"Phosphorus, P", 2.00, MG
"Sodium, Na", 11.00, MG
"Copper, Cu", 0.083, MG
"Manganese, Mn", 0.066, MG
"Thiamin", 0.015, MG
"Riboflavin", 0.015, MG
# Downloaded from https://www.nutritionvalue.org 
