charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Syrups, and sugar, refiner, corn, table blends
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 319.00, KCAL
"Fat", 0.00, G
"Protein", 0.00, G
"Carbohydrate", 83.90, G
"Saturated fatty acids", 0.000, G
"Fiber", 0.0, G
"Folic acid", 0.00, UG
"Folate, DFE", 3.00, UG
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Niacin", 0.020, MG
"Pantothenic acid", 0.035, MG
"Vitamin B6", 0.009, MG
"Water", 15.60, G
"Calcium, Ca", 23.00, MG
"Potassium, K", 63.00, MG
"Zinc, Zn", 0.03, MG
"Ash", 0.50, G
"Iron, Fe", 0.74, MG
"Magnesium, Mg", 9.00, MG
"Phosphorus, P", 8.00, MG
"Sodium, Na", 71.00, MG
"Copper, Cu", 0.060, MG
"Manganese, Mn", 0.088, MG
"Vitamin A", 0.00, IU
"Vitamin C", 0.0, MG
"Thiamin", 0.006, MG
"Riboflavin", 0.047, MG
"Folate", 3.00, UG
"Vitamin B12", 0.00, UG
"Folate, food", 3.00, UG
"Cholesterol", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Selenium, Se", 0.8, UG
# Downloaded from https://www.nutritionvalue.org 
