charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Tart, low fat, breakfast
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 372.00, KCAL
"Fat", 5.99, G
"Protein", 3.99, G
"Carbohydrate", 76.80, G
"Sugars", 4.87, G
"Folate, DFE", 133.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin A, RAE", 285.00, UG
"Carotene, beta", 3.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 1.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 0.4, UG
"Folate, food", 53.00, UG
"Lutein + zeaxanthin", 4.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin E", 0.53, MG
"Ash", 1.18, G
"Alcohol, ethyl", 0.0, G
"Vitamin C", 3.8, MG
"Thiamin", 0.285, MG
"Riboflavin", 0.549, MG
"Folate", 100.00, UG
"Vitamin B12", 0.00, UG
"Copper, Cu", 0.073, MG
"Vitamin A", 950.00, IU
"Retinol", 285.00, UG
"Fiber", 1.5, G
"Iron, Fe", 3.42, MG
"Magnesium, Mg", 44.00, MG
"Phosphorus, P", 93.00, MG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 1.393, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.005, G
"Tetradecanoic acid", 0.002, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.003, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Calcium, Ca", 44.00, MG
"Potassium, K", 66.00, MG
"Zinc, Zn", 0.28, MG
"Selenium, Se", 12.9, UG
"Water", 12.04, G
"Folic acid", 47.00, UG
"Niacin", 3.800, MG
"Vitamin B6", 0.380, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.681, G
"Octadecanoic acid", 0.676, G
"Octadecenoic acid", 3.332, G
"Octadecadienoic acid", 0.856, G
"Octadecatrienoic acid", 0.023, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.007, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 3.338, G
"Polyunsaturated fatty acids", 0.878, G
"Choline", 8.4, MG
"Sodium, Na", 361.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.53, MG
# Downloaded from https://www.nutritionvalue.org 
