charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Tea, Hohoysi (Hopi), brewed, herbal
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 2.00, KCAL
"Fat", 0.20, G
"Protein", 0.12, G
"Carbohydrate", 0.00, G
"Ash", 0.13, G
"Iron, Fe", 0.03, MG
"Magnesium, Mg", 0.00, MG
"Phosphorus, P", 0.00, MG
"Sodium, Na", 27.00, MG
"Copper, Cu", 0.007, MG
"Manganese, Mn", 0.004, MG
"Water", 99.64, G
"Calcium, Ca", 5.00, MG
"Potassium, K", 44.00, MG
"Zinc, Zn", 0.05, MG
# Downloaded from https://www.nutritionvalue.org 
