charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Tomatoes, sun-dried
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 258.00, KCAL
"Fat", 2.97, G
"Protein", 14.11, G
"Carbohydrate", 55.76, G
"Alcohol, ethyl", 0.0, G
"Folic acid", 0.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Retinol", 0.00, UG
"Vitamin K", 43.0, UG
"Cryptoxanthin, beta", 0.00, UG
"Carotene, beta", 524.00, UG
"Carotene, alpha", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 37.59, G
"Vitamin E", 0.01, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin A, RAE", 44.00, UG
"Vitamin A", 874.00, IU
"Lycopene", 45902.00, UG
"Folate, food", 68.00, UG
"Choline", 104.6, MG
"Lutein + zeaxanthin", 1419.00, UG
"Folate, DFE", 68.00, UG
"Sodium, Na", 107.00, MG
"Fatty acids, total trans", 0.000, G
"Ash", 12.60, G
"Copper, Cu", 1.423, MG
"Manganese, Mn", 1.846, MG
"Fiber", 12.3, G
"Iron, Fe", 9.09, MG
"Magnesium, Mg", 194.00, MG
"Phosphorus, P", 356.00, MG
"Saturated fatty acids", 0.426, G
"Vitamin C", 39.2, MG
"Thiamin", 0.528, MG
"Riboflavin", 0.489, MG
"Folate", 68.00, UG
"Vitamin B12", 0.00, UG
"Tryptophan", 0.104, G
"Threonine", 0.357, G
"Methionine", 0.122, G
"Phenylalanine", 0.366, G
"Tyrosine", 0.242, G
"Alanine", 0.402, G
"Glutamic acid", 5.202, G
"Glycine", 0.348, G
"Proline", 0.266, G
"Cholesterol", 0.00, MG
"Hexadecenoic acid", 0.011, G
"Tetradecanoic acid", 0.004, G
"Niacin", 9.050, MG
"Pantothenic acid", 2.087, MG
"Vitamin B6", 0.332, MG
"Calcium, Ca", 110.00, MG
"Potassium, K", 3427.00, MG
"Zinc, Zn", 1.99, MG
"Isoleucine", 0.339, G
"Leucine", 0.517, G
"Lysine", 0.519, G
"Cystine", 0.183, G
"Valine", 0.361, G
"Arginine", 0.343, G
"Histidine", 0.214, G
"Aspartic acid", 1.957, G
"Serine", 0.375, G
"Hexadecanoic acid", 0.326, G
"Octadecanoic acid", 0.096, G
"Octadecenoic acid", 0.476, G
"Octadecadienoic acid", 1.104, G
"Octadecatrienoic acid", 0.011, G
"Water", 14.56, G
"Monounsaturated fatty acids", 0.487, G
"Polyunsaturated fatty acids", 1.115, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 5.5, UG
"Tocopherol, alpha", 0.01, MG
# Downloaded from https://www.nutritionvalue.org 
