charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Turkey, raw, Ground
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 148.00, KCAL
"Fat", 7.66, G
"Protein", 19.66, G
"Carbohydrate", 0.00, G
"Alcohol, ethyl", 0.0, G
"Folic acid", 0.00, UG
"Water", 72.36, G
"Calcium, Ca", 19.00, MG
"Potassium, K", 237.00, MG
"Zinc, Zn", 2.35, MG
"Selenium, Se", 21.9, UG
"Vitamin E", 0.09, MG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.10, MG
"Tocotrienol, alpha", 0.02, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 6.733, MG
"Pantothenic acid", 0.993, MG
"Vitamin B6", 0.564, MG
"Choline", 50.8, MG
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.004, G
"Hexadecanoic acid", 1.353, G
"Octadecanoic acid", 0.546, G
"Eicosanoic acid", 0.007, G
"Octadecenoic acid", 2.345, G
"Octadecadienoic acid", 1.932, G
"Octadecatrienoic acid", 0.108, G
"Eicosatetraenoic acid", 0.098, G
"Octadecatetraenoic acid", 0.001, G
"Eicosenoic acid", 0.027, G
"Docosenoic acid", 0.001, G
"Monounsaturated fatty acids", 2.635, G
"Polyunsaturated fatty acids", 2.205, G
"Pentadecanoic acid", 0.010, G
"Trans-octadecenoic acid", 0.073, G
"Docosenoic trans acid", 0.000, G
"Trans-octadecadienoic acid", 0.025, G
"Octadecadienoic CLAs acid", 0.013, G
"Cis,cis-eicosadienoic n-6 acid", 0.014, G
"Cis-hexadecenoic acid", 0.224, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.006, G
"Eicosadienoic acid", 0.010, G
"Fatty acids, total trans-polyenoic", 0.025, G
"Eicosadienoic n-6 acid", 0.009, G
"Betaine", 6.3, MG
"Isoleucine", 0.880, G
"Leucine", 1.622, G
"Lysine", 1.757, G
"Cystine", 0.208, G
"Valine", 0.910, G
"Arginine", 1.426, G
"Histidine", 0.582, G
"Aspartic acid", 1.897, G
"Serine", 0.835, G
"Cholesterol", 69.00, MG
"Fatty acids, total trans", 0.103, G
"Saturated fatty acids", 2.024, G
"Octanoic acid", 0.001, G
"Dodecanoic acid", 0.010, G
"Tetradecanoic acid", 0.067, G
"Docosahexaenoic n-3 acid (DHA)", 0.01, G
"Docosanoic acid", 0.002, G
"Tetradecenoic acid", 0.011, G
"Hexadecenoic acid", 0.230, G
"Eicosapentaenoic n-3 acid (EPA)", 0.01, G
"Docosapentaenoic n-3 acid (DPA)", 0.01, G
"Heptadecanoic acid", 0.020, G
"Tetracosanoic acid", 0.001, G
"Trans-hexadecenoic acid", 0.005, G
"Tetracosenoic cis acid", 0.006, G
"Cis-octadecenoic acid", 2.272, G
"Cis,cis-octadecadienoic n-6 acid", 1.894, G
"Docosenoic cis acid", 0.001, G
"Heptadecenoic acid", 0.015, G
"Fatty acids, total trans-monoenoic", 0.078, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.10, G
"Eicosadienoic n-3 acid", 0.001, G
"Trans-octadecatrienoic acid", 0.000, G
"Docosatetraenoic acid", 0.018, G
"Tocopherol, delta", 0.02, MG
"Tocotrienol, gamma", 0.02, MG
"Tocotrienol, delta", 0.00, MG
"Thiamin", 0.066, MG
"Riboflavin", 0.156, MG
"Folate", 7.00, UG
"Vitamin B12", 1.00, UG
"Tryptophan", 0.223, G
"Threonine", 0.901, G
"Methionine", 0.578, G
"Phenylalanine", 0.765, G
"Tyrosine", 0.696, G
"Alanine", 1.223, G
"Glutamic acid", 3.144, G
"Glycine", 1.075, G
"Proline", 0.869, G
"Hydroxyproline", 0.163, G
"Iron, Fe", 1.09, MG
"Magnesium, Mg", 23.00, MG
"Phosphorus, P", 200.00, MG
"Sodium, Na", 58.00, MG
"Copper, Cu", 0.096, MG
"Manganese, Mn", 0.008, MG
"Vitamin A", 66.00, IU
"Retinol", 20.00, UG
"Vitamin A, RAE", 20.00, UG
"Ash", 1.00, G
"Vitamin D", 0.40, UG
"Vitamin K", 0.0, UG
"Folate, food", 7.00, UG
"Butanoic acid", 0.003, G
"Vitamin D (D2 + D3), International Units", 14.00, IU
"Folate, DFE", 7.00, UG
"Fiber", 0.0, G
"Vitamin C", 0.0, MG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Lutein + zeaxanthin", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Tocopherol, alpha", 0.09, MG
# Downloaded from https://www.nutritionvalue.org 
