charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Turkey, raw, meat and skin, whole
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 144.00, KCAL
"Fat", 5.64, G
"Protein", 21.64, G
"Carbohydrate", 0.14, G
"Sucrose", 0.07, G
"Sugars", 0.07, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.003, G
"Tetradecenoic acid", 0.007, G
"Hexadecenoic acid", 0.176, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.012, G
"Tetracosanoic acid", 0.001, G
"Trans-hexadecenoic acid", 0.003, G
"Tetracosenoic cis acid", 0.001, G
"Cis-octadecenoic acid", 1.295, G
"Cis,cis-octadecadienoic n-6 acid", 1.075, G
"Docosenoic cis acid", 0.001, G
"Heptadecenoic acid", 0.007, G
"Fatty acids, total trans-monoenoic", 0.048, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.07, G
"Eicosadienoic n-3 acid", 0.001, G
"Docosatetraenoic acid", 0.007, G
"Retinol", 17.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D3", 0.30, UG
"Vitamin D", 0.30, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.01, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.048, MG
"Riboflavin", 0.185, MG
"Folate", 7.00, UG
"Vitamin B12", 1.22, UG
"Galactose", 0.00, G
"Fiber", 0.0, G
"Iron, Fe", 0.86, MG
"Magnesium, Mg", 25.00, MG
"Phosphorus, P", 183.00, MG
"Sodium, Na", 112.00, MG
"Copper, Cu", 0.077, MG
"Manganese, Mn", 0.012, MG
"Vitamin K", 0.0, UG
"Folate, food", 7.00, UG
"Tryptophan", 0.223, G
"Threonine", 0.768, G
"Methionine", 0.554, G
"Phenylalanine", 0.688, G
"Tyrosine", 0.627, G
"Alanine", 1.188, G
"Glutamic acid", 2.889, G
"Glycine", 1.036, G
"Proline", 1.220, G
"Hydroxyproline", 0.144, G
"Vitamin B12, added", 0.00, UG
"Cholesterol", 72.00, MG
"Fatty acids, total trans", 0.062, G
"Saturated fatty acids", 1.461, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.020, G
"Tetradecanoic acid", 0.052, G
"Ash", 0.98, G
"Starch", 0.07, G
"Fructose", 0.00, G
"Lactose", 0.00, G
"Alcohol, ethyl", 0.0, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Water", 72.69, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Calcium, Ca", 11.00, MG
"Potassium, K", 224.00, MG
"Zinc, Zn", 1.78, MG
"Selenium, Se", 21.3, UG
"Vitamin E", 0.09, MG
"Vitamin D (D2 + D3), International Units", 12.00, IU
"Lutein + zeaxanthin", 0.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.02, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 7.631, MG
"Pantothenic acid", 0.811, MG
"Vitamin B6", 0.599, MG
"Choline", 58.0, MG
"Folic acid", 0.00, UG
"Folate, DFE", 7.00, UG
"Isoleucine", 0.608, G
"Leucine", 1.471, G
"Lysine", 1.746, G
"Cystine", 0.202, G
"Valine", 0.686, G
"Arginine", 1.233, G
"Histidine", 0.573, G
"Aspartic acid", 1.705, G
"Serine", 0.848, G
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.004, G
"Hexadecanoic acid", 0.985, G
"Octadecanoic acid", 0.365, G
"Eicosanoic acid", 0.004, G
"Octadecenoic acid", 1.608, G
"Octadecadienoic acid", 1.307, G
"Octadecatrienoic acid", 0.079, G
"Eicosatetraenoic acid", 0.042, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.024, G
"Docosenoic acid", 0.001, G
"Monounsaturated fatty acids", 1.826, G
"Polyunsaturated fatty acids", 1.466, G
"Pentadecanoic acid", 0.007, G
"Trans-octadecenoic acid", 0.045, G
"Docosenoic trans acid", 0.000, G
"Trans-octadecadienoic acid", 0.014, G
"Octadecadienoic CLAs acid", 0.008, G
"Cis,cis-eicosadienoic n-6 acid", 0.007, G
"Cis-hexadecenoic acid", 0.145, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.002, G
"Eicosadienoic acid", 0.007, G
"Fatty acids, total trans-polyenoic", 0.014, G
"Eicosadienoic n-6 acid", 0.006, G
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin A, RAE", 17.00, UG
"Vitamin A", 56.00, IU
"Tocopherol, alpha", 0.09, MG
# Downloaded from https://www.nutritionvalue.org 
