charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Turnips, unprepared, frozen
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 16.00, KCAL
"Fat", 0.16, G
"Protein", 1.04, G
"Carbohydrate", 2.94, G
"Folic acid", 0.00, UG
"Folate, DFE", 8.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 1.00, UG
"Fatty acids, total trans", 0.000, G
"Ash", 0.19, G
"Tryptophan", 0.010, G
"Threonine", 0.029, G
"Methionine", 0.013, G
"Phenylalanine", 0.020, G
"Tyrosine", 0.015, G
"Alanine", 0.040, G
"Glutamic acid", 0.149, G
"Glycine", 0.029, G
"Proline", 0.030, G
"Cholesterol", 0.00, MG
"Fiber", 1.8, G
"Iron, Fe", 0.70, MG
"Magnesium, Mg", 10.00, MG
"Phosphorus, P", 20.00, MG
"Sodium, Na", 25.00, MG
"Copper, Cu", 0.045, MG
"Manganese, Mn", 0.071, MG
"Vitamin A", 26.00, IU
"Saturated fatty acids", 0.017, G
"Hexadecenoic acid", 0.001, G
"Vitamin C", 4.4, MG
"Thiamin", 0.030, MG
"Riboflavin", 0.020, MG
"Folate", 8.00, UG
"Vitamin B12", 0.00, UG
"Water", 95.67, G
"Calcium, Ca", 23.00, MG
"Potassium, K", 137.00, MG
"Zinc, Zn", 0.14, MG
"Niacin", 0.400, MG
"Pantothenic acid", 0.106, MG
"Vitamin B6", 0.048, MG
"Isoleucine", 0.042, G
"Leucine", 0.038, G
"Lysine", 0.041, G
"Cystine", 0.006, G
"Valine", 0.034, G
"Arginine", 0.028, G
"Histidine", 0.016, G
"Aspartic acid", 0.073, G
"Serine", 0.033, G
"Hexadecanoic acid", 0.015, G
"Octadecanoic acid", 0.001, G
"Octadecenoic acid", 0.009, G
"Octadecadienoic acid", 0.019, G
"Octadecatrienoic acid", 0.064, G
"Monounsaturated fatty acids", 0.010, G
"Polyunsaturated fatty acids", 0.085, G
"Vitamin D", 0.00, UG
"Folate, food", 8.00, UG
"Selenium, Se", 0.4, UG
# Downloaded from https://www.nutritionvalue.org 
