charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Veal, cooked, seam fat only
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 505.00, KCAL
"Fat", 50.17, G
"Protein", 11.16, G
"Carbohydrate", 2.11, G
"Vitamin A, RAE", 0.00, UG
"Water", 35.99, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Calcium, Ca", 43.00, MG
"Potassium, K", 155.00, MG
"Zinc, Zn", 2.00, MG
"Selenium, Se", 9.7, UG
"Vitamin E", 0.52, MG
"Vitamin D (D2 + D3), International Units", 181.00, IU
"Lutein + zeaxanthin", 0.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.12, MG
"Niacin", 2.840, MG
"Pantothenic acid", 0.440, MG
"Vitamin B6", 0.203, MG
"Choline", 53.8, MG
"Folic acid", 0.00, UG
"Folate, DFE", 0.00, UG
"Betaine", 15.4, MG
"Isoleucine", 0.549, G
"Leucine", 0.888, G
"Lysine", 0.919, G
"Cystine", 0.126, G
"Valine", 0.617, G
"Arginine", 0.656, G
"Histidine", 0.405, G
"Aspartic acid", 0.963, G
"Serine", 0.418, G
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.032, G
"Hexadecanoic acid", 9.380, G
"Octadecanoic acid", 5.402, G
"Eicosanoic acid", 0.020, G
"Octadecenoic acid", 18.568, G
"Octadecadienoic acid", 2.354, G
"Octadecatrienoic acid", 0.078, G
"Eicosatetraenoic acid", 0.539, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 20.589, G
"Polyunsaturated fatty acids", 2.972, G
"Trans-octadecenoic acid", 1.671, G
"Octadecadienoic CLAs acid", 0.107, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Cis-hexadecenoic acid", 1.391, G
"Ash", 0.57, G
"Alcohol, ethyl", 0.0, G
"Fiber", 0.0, G
"Iron, Fe", 1.15, MG
"Magnesium, Mg", 24.00, MG
"Phosphorus, P", 152.00, MG
"Sodium, Na", 87.00, MG
"Copper, Cu", 0.081, MG
"Manganese, Mn", 0.034, MG
"Vitamin A", 0.00, IU
"Retinol", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D3", 4.50, UG
"Vitamin D", 4.50, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.05, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.047, MG
"Riboflavin", 0.160, MG
"Folate", 0.00, UG
"Vitamin B12", 1.62, UG
"Vitamin K", 2.4, UG
"Folate, food", 0.00, UG
"Tryptophan", 0.113, G
"Threonine", 0.487, G
"Methionine", 0.260, G
"Phenylalanine", 0.450, G
"Tyrosine", 0.356, G
"Alanine", 0.664, G
"Glutamic acid", 1.765, G
"Glycine", 0.573, G
"Proline", 0.466, G
"Hydroxyproline", 0.056, G
"Vitamin B12, added", 0.00, UG
"Cholesterol", 82.00, MG
"Fatty acids, total trans", 1.671, G
"Saturated fatty acids", 16.316, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.007, G
"Tetradecanoic acid", 0.936, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Tetradecenoic acid", 0.222, G
"Hexadecenoic acid", 1.391, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.01, G
"Heptadecanoic acid", 0.456, G
"Tetracosanoic acid", 0.083, G
"Cis-octadecenoic acid", 16.898, G
"Cis,cis-octadecadienoic n-6 acid", 2.248, G
"Heptadecenoic acid", 0.407, G
"Fatty acids, total trans-monoenoic", 1.671, G
"Tocopherol, alpha", 0.52, MG
# Downloaded from https://www.nutritionvalue.org 
