charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Veal, cooked, separable fat, breast
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 521.00, KCAL
"Fat", 53.35, G
"Protein", 9.40, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Folate, DFE", 5.00, UG
"Niacin", 2.790, MG
"Pantothenic acid", 0.450, MG
"Vitamin B6", 0.110, MG
"Isoleucine", 0.463, G
"Leucine", 0.747, G
"Lysine", 0.775, G
"Cystine", 0.107, G
"Valine", 0.519, G
"Arginine", 0.553, G
"Histidine", 0.341, G
"Aspartic acid", 0.811, G
"Serine", 0.352, G
"Hexadecanoic acid", 12.497, G
"Octadecanoic acid", 4.934, G
"Octadecenoic acid", 22.820, G
"Octadecadienoic acid", 2.633, G
"Octadecatrienoic acid", 0.168, G
"Eicosatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.217, G
"Monounsaturated fatty acids", 26.410, G
"Polyunsaturated fatty acids", 2.865, G
"Water", 36.15, G
"Calcium, Ca", 6.00, MG
"Potassium, K", 181.00, MG
"Zinc, Zn", 0.76, MG
"Ash", 0.45, G
"Fiber", 0.0, G
"Iron, Fe", 0.45, MG
"Magnesium, Mg", 10.00, MG
"Phosphorus, P", 102.00, MG
"Sodium, Na", 49.00, MG
"Copper, Cu", 0.042, MG
"Manganese, Mn", 0.010, MG
"Thiamin", 0.020, MG
"Riboflavin", 0.120, MG
"Folate", 5.00, UG
"Vitamin B12", 0.55, UG
"Folate, food", 5.00, UG
"Tryptophan", 0.095, G
"Threonine", 0.411, G
"Methionine", 0.220, G
"Phenylalanine", 0.379, G
"Tyrosine", 0.299, G
"Alanine", 0.559, G
"Glutamic acid", 1.487, G
"Glycine", 0.483, G
"Proline", 0.393, G
"Cholesterol", 95.00, MG
"Saturated fatty acids", 21.407, G
"Dodecanoic acid", 0.351, G
"Tetradecanoic acid", 3.319, G
"Hexadecenoic acid", 2.440, G
"Selenium, Se", 5.5, UG
# Downloaded from https://www.nutritionvalue.org 
