charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Veal, raw, ground
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 197.00, KCAL
"Fat", 13.06, G
"Protein", 18.58, G
"Carbohydrate", 0.00, G
"Vitamin C", 0.0, MG
"Fiber", 0.0, G
"Methionine", 0.434, G
"Phenylalanine", 0.749, G
"Tyrosine", 0.592, G
"Alanine", 1.105, G
"Glutamic acid", 2.938, G
"Glycine", 0.954, G
"Proline", 0.776, G
"Hydroxyproline", 0.127, G
"Vitamin B12, added", 0.00, UG
"Cholesterol", 49.00, MG
"Fatty acids, total trans", 0.696, G
"Saturated fatty acids", 5.108, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.009, G
"Tetradecanoic acid", 0.300, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Tetradecenoic acid", 0.061, G
"Hexadecenoic acid", 0.374, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.171, G
"Tetracosanoic acid", 0.016, G
"Cis-octadecenoic acid", 4.896, G
"Cis,cis-octadecadienoic n-6 acid", 0.578, G
"Heptadecenoic acid", 0.124, G
"Fatty acids, total trans-monoenoic", 0.696, G
"Thiamin", 0.113, MG
"Riboflavin", 0.280, MG
"Folate", 3.00, UG
"Vitamin B12", 2.28, UG
"Vitamin K", 1.4, UG
"Folate, food", 3.00, UG
"Tryptophan", 0.188, G
"Threonine", 0.812, G
"Iron, Fe", 1.37, MG
"Magnesium, Mg", 31.00, MG
"Phosphorus, P", 197.00, MG
"Sodium, Na", 103.00, MG
"Copper, Cu", 0.088, MG
"Manganese, Mn", 0.008, MG
"Vitamin A", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D3", 1.30, UG
"Vitamin D", 1.30, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.04, MG
"Ash", 0.93, G
"Alcohol, ethyl", 0.0, G
"Leucine", 1.478, G
"Lysine", 1.531, G
"Cystine", 0.210, G
"Valine", 1.027, G
"Arginine", 1.093, G
"Histidine", 0.674, G
"Aspartic acid", 1.603, G
"Serine", 0.696, G
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.007, G
"Hexadecanoic acid", 2.766, G
"Octadecanoic acid", 1.834, G
"Eicosanoic acid", 0.004, G
"Octadecenoic acid", 5.592, G
"Octadecadienoic acid", 0.616, G
"Octadecatrienoic acid", 0.020, G
"Eicosatetraenoic acid", 0.094, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.009, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 6.159, G
"Polyunsaturated fatty acids", 0.732, G
"Trans-octadecenoic acid", 0.696, G
"Octadecadienoic CLAs acid", 0.038, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Cis-hexadecenoic acid", 0.374, G
"Water", 66.16, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Calcium, Ca", 12.00, MG
"Potassium, K", 198.00, MG
"Zinc, Zn", 2.51, MG
"Selenium, Se", 13.1, UG
"Vitamin E", 0.49, MG
"Vitamin D (D2 + D3), International Units", 51.00, IU
"Lutein + zeaxanthin", 0.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.06, MG
"Niacin", 5.520, MG
"Pantothenic acid", 0.670, MG
"Vitamin B6", 0.446, MG
"Choline", 96.5, MG
"Folic acid", 0.00, UG
"Folate, DFE", 3.00, UG
"Betaine", 25.6, MG
"Isoleucine", 0.915, G
"Tocopherol, alpha", 0.49, MG
# Downloaded from https://www.nutritionvalue.org 
