charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Veal, raw, seam fat only
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 444.00, KCAL
"Fat", 43.75, G
"Protein", 12.53, G
"Carbohydrate", 0.00, G
"Hydroxyproline", 0.059, G
"Vitamin B12, added", 0.00, UG
"Cholesterol", 83.00, MG
"Fatty acids, total trans", 1.734, G
"Saturated fatty acids", 14.235, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.028, G
"Tetradecanoic acid", 1.060, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Alcohol, ethyl", 0.0, G
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D3", 3.50, UG
"Vitamin D", 3.50, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.041, MG
"Riboflavin", 0.150, MG
"Folate", 0.00, UG
"Vitamin B12", 1.56, UG
"Vitamin K", 2.5, UG
"Folate, food", 0.00, UG
"Fiber", 0.0, G
"Iron, Fe", 0.87, MG
"Magnesium, Mg", 23.00, MG
"Phosphorus, P", 150.00, MG
"Sodium, Na", 89.00, MG
"Copper, Cu", 0.056, MG
"Manganese, Mn", 0.014, MG
"Vitamin A", 0.00, IU
"Retinol", 0.00, UG
"Tetradecenoic acid", 0.400, G
"Hexadecenoic acid", 1.698, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.420, G
"Tetracosanoic acid", 0.012, G
"Cis-octadecenoic acid", 16.757, G
"Cis,cis-octadecadienoic n-6 acid", 1.044, G
"Heptadecenoic acid", 0.404, G
"Fatty acids, total trans-monoenoic", 1.734, G
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.012, G
"Hexadecanoic acid", 8.636, G
"Octadecanoic acid", 4.050, G
"Eicosanoic acid", 0.016, G
"Octadecenoic acid", 18.491, G
"Octadecadienoic acid", 1.309, G
"Octadecatrienoic acid", 0.041, G
"Eicosatetraenoic acid", 0.040, G
"Calcium, Ca", 30.00, MG
"Potassium, K", 179.00, MG
"Zinc, Zn", 1.77, MG
"Selenium, Se", 8.0, UG
"Vitamin E", 0.68, MG
"Vitamin D (D2 + D3), International Units", 142.00, IU
"Lutein + zeaxanthin", 0.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.18, MG
"Niacin", 3.810, MG
"Pantothenic acid", 0.360, MG
"Vitamin B6", 0.227, MG
"Choline", 44.9, MG
"Folic acid", 0.00, UG
"Folate, DFE", 0.00, UG
"Betaine", 11.7, MG
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.083, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 21.077, G
"Polyunsaturated fatty acids", 1.393, G
"Trans-octadecenoic acid", 1.734, G
"Octadecadienoic CLAs acid", 0.265, G
"Cis,cis-eicosadienoic n-6 acid", 0.004, G
"Cis-hexadecenoic acid", 1.698, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Vitamin A, RAE", 0.00, UG
"Tryptophan", 0.127, G
"Threonine", 0.547, G
"Methionine", 0.292, G
"Phenylalanine", 0.506, G
"Tyrosine", 0.400, G
"Alanine", 0.745, G
"Glutamic acid", 1.982, G
"Glycine", 0.644, G
"Proline", 0.523, G
"Ash", 0.66, G
"Isoleucine", 0.617, G
"Leucine", 0.997, G
"Lysine", 1.033, G
"Cystine", 0.141, G
"Valine", 0.693, G
"Arginine", 0.737, G
"Histidine", 0.455, G
"Aspartic acid", 1.081, G
"Serine", 0.469, G
"Water", 44.47, G
"Tocopherol, alpha", 0.68, MG
# Downloaded from https://www.nutritionvalue.org 
