charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Waffles, prepared from recipe, plain
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 291.00, KCAL
"Fat", 14.10, G
"Protein", 7.90, G
"Carbohydrate", 32.90, G
"Folate, DFE", 68.00, UG
"Folic acid", 31.00, UG
"Retinol", 64.00, UG
"Vitamin A, RAE", 65.00, UG
"Ash", 3.10, G
"Vitamin C", 0.4, MG
"Thiamin", 0.263, MG
"Riboflavin", 0.347, MG
"Iron, Fe", 2.31, MG
"Magnesium, Mg", 19.00, MG
"Phosphorus, P", 190.00, MG
"Sodium, Na", 511.00, MG
"Copper, Cu", 0.062, MG
"Manganese, Mn", 0.265, MG
"Vitamin A", 228.00, IU
"Vitamin B12", 0.25, UG
"Folate, food", 15.00, UG
"Tryptophan", 0.099, G
"Threonine", 0.289, G
"Methionine", 0.179, G
"Phenylalanine", 0.395, G
"Tyrosine", 0.293, G
"Alanine", 0.301, G
"Glutamic acid", 1.989, G
"Glycine", 0.247, G
"Proline", 0.726, G
"Cholesterol", 69.00, MG
"Saturated fatty acids", 2.866, G
"Octanoic acid", 0.014, G
"Dodecanoic acid", 0.036, G
"Tetradecanoic acid", 0.145, G
"Docosahexaenoic n-3 acid (DHA)", 0.01, G
"Hexadecenoic acid", 0.096, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Leucine", 0.630, G
"Lysine", 0.384, G
"Isoleucine", 0.362, G
"Niacin", 2.073, MG
"Pantothenic acid", 0.485, MG
"Vitamin B6", 0.056, MG
"Water", 42.00, G
"Calcium, Ca", 255.00, MG
"Potassium, K", 159.00, MG
"Zinc, Zn", 0.68, MG
"Cystine", 0.145, G
"Valine", 0.409, G
"Arginine", 0.345, G
"Histidine", 0.187, G
"Aspartic acid", 0.509, G
"Serine", 0.447, G
"Butanoic acid", 0.041, G
"Hexanoic acid", 0.025, G
"Decanoic acid", 0.032, G
"Hexadecanoic acid", 1.865, G
"Octadecanoic acid", 0.696, G
"Octadecenoic acid", 3.395, G
"Octadecadienoic acid", 5.975, G
"Octadecatrienoic acid", 0.782, G
"Eicosatetraenoic acid", 0.021, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.026, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 3.521, G
"Polyunsaturated fatty acids", 6.785, G
"Selenium, Se", 46.2, UG
"Folate", 46.00, UG
# Downloaded from https://www.nutritionvalue.org 
