charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Watermelon, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 30.00, KCAL
"Fat", 0.15, G
"Protein", 0.61, G
"Carbohydrate", 7.55, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Ash", 0.25, G
"Starch", 0.00, G
"Fiber", 0.4, G
"Iron, Fe", 0.24, MG
"Magnesium, Mg", 10.00, MG
"Phosphorus, P", 11.00, MG
"Copper, Cu", 0.042, MG
"Manganese, Mn", 0.038, MG
"Vitamin A", 569.00, IU
"Vitamin A, RAE", 28.00, UG
"Carotene, beta", 303.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 78.00, UG
"Lycopene", 4532.00, UG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 8.1, MG
"Thiamin", 0.033, MG
"Riboflavin", 0.021, MG
"Folate", 3.00, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 0.1, UG
"Lutein + zeaxanthin", 8.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 0.01, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.178, MG
"Pantothenic acid", 0.221, MG
"Vitamin B6", 0.045, MG
"Sugars", 6.20, G
"Calcium, Ca", 7.00, MG
"Zinc, Zn", 0.10, MG
"Selenium, Se", 0.4, UG
"Vitamin E", 0.05, MG
"Water", 91.45, G
"Alcohol, ethyl", 0.0, G
"Sucrose", 1.21, G
"Glucose (dextrose)", 1.58, G
"Maltose", 0.06, G
"Fluoride, F", 1.5, UG
"Choline", 4.1, MG
"Folate, DFE", 3.00, UG
"Betaine", 0.3, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.001, G
"Hexadecanoic acid", 0.008, G
"Octadecanoic acid", 0.006, G
"Octadecenoic acid", 0.037, G
"Octadecadienoic acid", 0.050, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.037, G
"Polyunsaturated fatty acids", 0.050, G
"Saturated fatty acids", 0.016, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.001, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Fructose", 3.36, G
"Lactose", 0.00, G
"Folate, food", 3.00, UG
"Galactose", 0.00, G
"Potassium, K", 112.00, MG
"Sodium, Na", 1.00, MG
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Tryptophan", 0.007, G
"Threonine", 0.027, G
"Methionine", 0.006, G
"Phenylalanine", 0.015, G
"Tyrosine", 0.012, G
"Alanine", 0.017, G
"Glutamic acid", 0.063, G
"Glycine", 0.010, G
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
"Proline", 0.024, G
"Phytosterols", 2.00, MG
"Isoleucine", 0.019, G
"Leucine", 0.018, G
"Lysine", 0.062, G
"Cystine", 0.002, G
"Valine", 0.016, G
"Arginine", 0.059, G
"Histidine", 0.006, G
"Aspartic acid", 0.039, G
"Serine", 0.016, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.05, MG
# Downloaded from https://www.nutritionvalue.org 
