charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Wheat, sprouted
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 198.00, KCAL
"Fat", 1.27, G
"Protein", 7.49, G
"Carbohydrate", 42.53, G
"Alcohol, ethyl", 0.0, G
"Folic acid", 0.00, UG
"Folate, DFE", 38.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Water", 47.75, G
"Calcium, Ca", 28.00, MG
"Potassium, K", 169.00, MG
"Zinc, Zn", 1.65, MG
"Hexadecanoic acid", 0.194, G
"Octadecanoic acid", 0.012, G
"Octadecenoic acid", 0.151, G
"Octadecadienoic acid", 0.531, G
"Octadecatrienoic acid", 0.026, G
"Isoleucine", 0.287, G
"Leucine", 0.507, G
"Lysine", 0.245, G
"Cystine", 0.134, G
"Valine", 0.361, G
"Arginine", 0.425, G
"Histidine", 0.196, G
"Aspartic acid", 0.453, G
"Serine", 0.341, G
"Niacin", 3.087, MG
"Pantothenic acid", 0.947, MG
"Vitamin B6", 0.265, MG
"Monounsaturated fatty acids", 0.151, G
"Polyunsaturated fatty acids", 0.557, G
"Ash", 0.96, G
"Fiber", 1.1, G
"Iron, Fe", 2.14, MG
"Magnesium, Mg", 82.00, MG
"Phosphorus, P", 200.00, MG
"Sodium, Na", 16.00, MG
"Copper, Cu", 0.261, MG
"Manganese, Mn", 1.858, MG
"Vitamin A", 0.00, IU
"Vitamin C", 2.6, MG
"Thiamin", 0.225, MG
"Riboflavin", 0.155, MG
"Folate", 38.00, UG
"Vitamin B12", 0.00, UG
"Folate, food", 38.00, UG
"Tryptophan", 0.115, G
"Threonine", 0.254, G
"Methionine", 0.116, G
"Phenylalanine", 0.350, G
"Tyrosine", 0.275, G
"Alanine", 0.295, G
"Glutamic acid", 1.871, G
"Glycine", 0.306, G
"Proline", 0.674, G
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.206, G
"Vitamin D", 0.00, UG
"Selenium, Se", 42.5, UG
# Downloaded from https://www.nutritionvalue.org 
