charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Wild rice, cooked
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 101.00, KCAL
"Fat", 0.34, G
"Protein", 3.99, G
"Carbohydrate", 21.34, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Alcohol, ethyl", 0.0, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin E", 0.24, MG
"Sucrose", 0.33, G
"Glucose (dextrose)", 0.20, G
"Lutein + zeaxanthin", 64.00, UG
"Fructose", 0.20, G
"Fiber", 1.8, G
"Carotene, beta", 2.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin K", 0.5, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Folate, food", 26.00, UG
"Choline", 10.2, MG
"Sugars", 0.73, G
"Vitamin A", 3.00, IU
"Vitamin A, RAE", 0.00, UG
"Folate, DFE", 26.00, UG
"Retinol", 0.00, UG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Calcium, Ca", 3.00, MG
"Potassium, K", 101.00, MG
"Zinc, Zn", 1.34, MG
"Isoleucine", 0.167, G
"Leucine", 0.276, G
"Lysine", 0.170, G
"Cystine", 0.047, G
"Valine", 0.232, G
"Arginine", 0.308, G
"Histidine", 0.104, G
"Aspartic acid", 0.384, G
"Serine", 0.211, G
"Niacin", 1.287, MG
"Pantothenic acid", 0.154, MG
"Vitamin B6", 0.135, MG
"Water", 73.93, G
"Monounsaturated fatty acids", 0.050, G
"Polyunsaturated fatty acids", 0.213, G
"Hexadecanoic acid", 0.046, G
"Octadecanoic acid", 0.003, G
"Octadecenoic acid", 0.050, G
"Octadecadienoic acid", 0.119, G
"Octadecatrienoic acid", 0.095, G
"Ash", 0.40, G
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.049, G
"Vitamin C", 0.0, MG
"Thiamin", 0.052, MG
"Riboflavin", 0.087, MG
"Folate", 26.00, UG
"Vitamin B12", 0.00, UG
"Iron, Fe", 0.60, MG
"Magnesium, Mg", 32.00, MG
"Phosphorus, P", 82.00, MG
"Sodium, Na", 3.00, MG
"Copper, Cu", 0.121, MG
"Manganese, Mn", 0.282, MG
"Tryptophan", 0.049, G
"Threonine", 0.127, G
"Methionine", 0.119, G
"Phenylalanine", 0.195, G
"Tyrosine", 0.169, G
"Alanine", 0.223, G
"Glutamic acid", 0.695, G
"Glycine", 0.182, G
"Proline", 0.140, G
"Vitamin D", 0.00, UG
"Selenium, Se", 0.8, UG
"Tocopherol, alpha", 0.24, MG
# Downloaded from https://www.nutritionvalue.org 
