charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Yogurt, skim milk, plain
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 56.00, KCAL
"Fat", 0.18, G
"Protein", 5.73, G
"Carbohydrate", 7.68, G
"Folic acid", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 7.68, G
"Vitamin E", 0.00, MG
"Lutein + zeaxanthin", 0.00, UG
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Folate, DFE", 12.00, UG
"Choline", 15.2, MG
"Vitamin A", 7.00, IU
"Retinol", 2.00, UG
"Vitamin A, RAE", 2.00, UG
"Vitamin K", 0.2, UG
"Folate, food", 12.00, UG
"Fluoride, F", 12.0, UG
"Alcohol, ethyl", 0.0, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Ash", 1.18, G
"Fiber", 0.0, G
"Iron, Fe", 0.09, MG
"Magnesium, Mg", 19.00, MG
"Phosphorus, P", 157.00, MG
"Sodium, Na", 77.00, MG
"Copper, Cu", 0.015, MG
"Vitamin C", 0.9, MG
"Thiamin", 0.048, MG
"Riboflavin", 0.234, MG
"Folate", 12.00, UG
"Vitamin B12", 0.61, UG
"Cholesterol", 2.00, MG
"Saturated fatty acids", 0.116, G
"Octanoic acid", 0.002, G
"Dodecanoic acid", 0.006, G
"Tetradecanoic acid", 0.019, G
"Tryptophan", 0.032, G
"Threonine", 0.235, G
"Methionine", 0.169, G
"Phenylalanine", 0.313, G
"Tyrosine", 0.289, G
"Alanine", 0.245, G
"Glutamic acid", 1.122, G
"Glycine", 0.138, G
"Proline", 0.679, G
"Manganese, Mn", 0.005, MG
"Hexadecenoic acid", 0.004, G
"Water", 85.23, G
"Calcium, Ca", 199.00, MG
"Potassium, K", 255.00, MG
"Zinc, Zn", 0.97, MG
"Niacin", 0.124, MG
"Pantothenic acid", 0.641, MG
"Vitamin B6", 0.053, MG
"Isoleucine", 0.313, G
"Leucine", 0.577, G
"Lysine", 0.514, G
"Cystine", 0.052, G
"Valine", 0.474, G
"Arginine", 0.172, G
"Histidine", 0.142, G
"Aspartic acid", 0.454, G
"Serine", 0.355, G
"Butanoic acid", 0.005, G
"Hexanoic acid", 0.004, G
"Decanoic acid", 0.005, G
"Hexadecanoic acid", 0.049, G
"Octadecanoic acid", 0.018, G
"Octadecenoic acid", 0.041, G
"Octadecadienoic acid", 0.004, G
"Octadecatrienoic acid", 0.001, G
"Eicosatetraenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.049, G
"Polyunsaturated fatty acids", 0.005, G
"Vitamin D", 0.00, UG
"Selenium, Se", 3.6, UG
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
