charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Yogurt, whole milk, fruit, Greek
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 106.00, KCAL
"Fat", 3.00, G
"Protein", 7.33, G
"Carbohydrate", 12.29, G
"Water", 76.81, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 12.00, G
"Calcium, Ca", 100.00, MG
"Potassium, K", 113.00, MG
"Zinc, Zn", 0.41, MG
"Selenium, Se", 9.6, UG
"Vitamin E", 0.07, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin D2", 0.00, UG
"Lutein + zeaxanthin", 7.00, UG
"Niacin", 0.205, MG
"Pantothenic acid", 0.394, MG
"Vitamin B6", 0.049, MG
"Choline", 14.3, MG
"Folic acid", 0.00, UG
"Folate, DFE", 5.00, UG
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.060, G
"Hexanoic acid", 0.046, G
"Decanoic acid", 0.084, G
"Hexadecanoic acid", 0.746, G
"Octadecanoic acid", 0.250, G
"Eicosanoic acid", 0.003, G
"Octadecenoic acid", 0.573, G
"Octadecadienoic acid", 0.092, G
"Octadecatrienoic acid", 0.011, G
"Eicosatetraenoic acid", 0.004, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.005, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 1.265, G
"Polyunsaturated fatty acids", 0.219, G
"Pentadecanoic acid", 0.027, G
"Trans-octadecenoic acid", 0.052, G
"Docosenoic trans acid", 0.000, G
"Trans-octadecadienoic acid", 0.014, G
"Octadecadienoic CLAs acid", 0.011, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Cis-hexadecenoic acid", 0.034, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.003, G
"Fatty acids, total trans-polyenoic", 0.014, G
"Eicosadienoic n-6 acid", 0.003, G
"Vitamin D3", 0.00, UG
"Vitamin D", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 0.0, MG
"Thiamin", 0.046, MG
"Riboflavin", 0.235, MG
"Folate", 5.00, UG
"Vitamin B12", 0.50, UG
"Vitamin K", 0.3, UG
"Folate, food", 5.00, UG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 10.00, MG
"Fatty acids, total trans", 0.000, G
"Saturated fatty acids", 1.599, G
"Octanoic acid", 0.031, G
"Dodecanoic acid", 0.081, G
"Tetradecanoic acid", 0.254, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.025, G
"Hexadecenoic acid", 0.042, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.017, G
"Tetracosanoic acid", 0.000, G
"Trans-hexadecenoic acid", 0.008, G
"Tetracosenoic cis acid", 0.000, G
"Cis-octadecenoic acid", 0.522, G
"Cis,cis-octadecadienoic n-6 acid", 0.067, G
"Docosenoic cis acid", 0.000, G
"Heptadecenoic acid", 0.005, G
"Fatty acids, total trans-monoenoic", 0.059, G
"Ash", 0.56, G
"Alcohol, ethyl", 0.0, G
"Fiber", 0.0, G
"Iron, Fe", 0.00, MG
"Magnesium, Mg", 10.00, MG
"Phosphorus, P", 109.00, MG
"Sodium, Na", 37.00, MG
"Copper, Cu", 0.019, MG
"Manganese, Mn", 0.036, MG
"Vitamin A", 162.00, IU
"Retinol", 45.00, UG
"Vitamin A, RAE", 46.00, UG
"Carotene, beta", 7.00, UG
"Carotene, alpha", 0.00, UG
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.01, G
"Eicosadienoic n-3 acid", 0.000, G
"Trans-octadecatrienoic acid", 0.000, G
"Docosatetraenoic acid", 0.000, G
"Tocopherol, alpha", 0.07, MG
# Downloaded from https://www.nutritionvalue.org 
