charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Yogurt, whole milk, plain
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 61.00, KCAL
"Fat", 3.25, G
"Protein", 3.47, G
"Carbohydrate", 4.66, G
"Folic acid", 0.00, UG
"Carotene, beta", 5.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 0.2, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 4.66, G
"Vitamin E", 0.06, MG
"Lutein + zeaxanthin", 0.00, UG
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Choline", 15.2, MG
"Vitamin D (D2 + D3), International Units", 2.00, IU
"Folate, DFE", 7.00, UG
"Folate, food", 7.00, UG
"Vitamin A", 99.00, IU
"Retinol", 27.00, UG
"Vitamin A, RAE", 27.00, UG
"Vitamin D3", 0.10, UG
"Vitamin D", 0.10, UG
"Fluoride, F", 12.0, UG
"Alcohol, ethyl", 0.0, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 13.00, MG
"Saturated fatty acids", 2.096, G
"Octanoic acid", 0.042, G
"Dodecanoic acid", 0.111, G
"Tetradecanoic acid", 0.343, G
"Threonine", 0.142, G
"Methionine", 0.102, G
"Phenylalanine", 0.189, G
"Tyrosine", 0.175, G
"Alanine", 0.148, G
"Glutamic acid", 0.679, G
"Glycine", 0.084, G
"Proline", 0.411, G
"Hexadecenoic acid", 0.071, G
"Ash", 0.72, G
"Tryptophan", 0.020, G
"Fiber", 0.0, G
"Iron, Fe", 0.05, MG
"Magnesium, Mg", 12.00, MG
"Phosphorus, P", 95.00, MG
"Sodium, Na", 46.00, MG
"Copper, Cu", 0.009, MG
"Manganese, Mn", 0.004, MG
"Vitamin C", 0.5, MG
"Thiamin", 0.029, MG
"Riboflavin", 0.142, MG
"Folate", 7.00, UG
"Vitamin B12", 0.37, UG
"Monounsaturated fatty acids", 0.893, G
"Polyunsaturated fatty acids", 0.092, G
"Butanoic acid", 0.096, G
"Hexanoic acid", 0.066, G
"Decanoic acid", 0.093, G
"Hexadecanoic acid", 0.886, G
"Octadecanoic acid", 0.317, G
"Octadecenoic acid", 0.743, G
"Octadecadienoic acid", 0.065, G
"Octadecatrienoic acid", 0.027, G
"Eicosatetraenoic acid", 0.000, G
"Isoleucine", 0.189, G
"Leucine", 0.350, G
"Lysine", 0.311, G
"Cystine", 0.032, G
"Valine", 0.287, G
"Arginine", 0.104, G
"Histidine", 0.086, G
"Aspartic acid", 0.275, G
"Serine", 0.215, G
"Water", 87.90, G
"Calcium, Ca", 121.00, MG
"Potassium, K", 155.00, MG
"Zinc, Zn", 0.59, MG
"Niacin", 0.075, MG
"Pantothenic acid", 0.389, MG
"Vitamin B6", 0.032, MG
"Selenium, Se", 2.2, UG
"Tocopherol, alpha", 0.06, MG
# Downloaded from https://www.nutritionvalue.org 
